Changed;Fighter;String;String_uk;
;Bestiary questions - Wisp - Karaoke go-tos;[quote]Wake Me Up Before You Go-Go[quote];[quote]Wake Me Up Before You Go-Go[quote];
;Bestiary questions - Wisp - Reason for entering the dungeons;Thought it might be a fun adventure. And it was!;Thought it might be a fun adventure. And it was!;
;Bestiary questions - Crystalina - Likes;C R Y S T A L;C R Y S T A L;
;Bestiary questions - Crystalina - Dislikes;T H I N G S T H A T A R E N O T C R Y S T A L;T H I N G S T H A T A R E N O T C R Y S T A L;
;Bestiary questions - Crystalina - Six things you couldn't live without;J A S P E R. O N Y X. Q U A R T Z. O B S I D I A N.|M O O N S T O N E. R U B Y.;J A S P E R. O N Y X. Q U A R T Z. O B S I D I A N.|M O O N S T O N E. R U B Y.;
;Bestiary questions - Crystalina - Reason for entering the dungeons;C R Y S T A L S A R E H E R E;C R Y S T A L S A R E H E R E;
;Bestiary questions - Banshee - Hobbies;Screaming impossibly;Screaming impossibly;
;Bestiary questions - Banshee - Childhood pet;Well, I used to swallow a goldfish every morning for|breakfast, if that counts?;Well, I used to swallow a goldfish every morning for|breakfast, if that counts?;
;Bestiary questions - Banshee - Six things you can't live without;Reeds, whirlpools, puddles, fog, pondweed and the|neverending echo of terrible despair;Reeds, whirlpools, puddles, fog, pondweed and the|neverending echo of terrible despair;
;Bestiary questions - Banshee - Reason for entering the dungeons;I mean, have you tried finding work as a professional|banshee?;I mean, have you tried finding work as a professional|banshee?;
;Bestiary questions - Rhino Beetle - Favourite food;VANILLA DICE CREAM, OH HO HO HO;VANILLA DICE CREAM, OH HO HO HO;
;Bestiary questions - Rhino Beetle - Likes;LOOMING;LOOMING;
;Bestiary questions - Rhino Beetle - Dislikes;THE INEVITABILITY OF DEATH;THE INEVITABILITY OF DEATH;
;Bestiary questions - Rhino Beetle - Reason for entering the dungeons;TO HEAR THE BOOMING ECHO OF MY|UNDERGROUND VOICE;TO HEAR THE BOOMING ECHO OF MY|UNDERGROUND VOICE;
;Bestiary questions - Rose - Favourite food;A good fertiliser with nitrogen and potassium.;A good fertiliser with nitrogen and potassium.;
;Bestiary questions - Rose - Hobbies;Sharpening my thorns;Sharpening my thorns;
;Bestiary questions - Rose - Karaoke go-tos;I'm actually the specific rose mentioned in [quote]Kiss|from a Rose[quote], you know;I'm actually the specific rose mentioned in [quote]Kiss|from a Rose[quote], you know;
;Bestiary questions - Rose - Reason for entering the dungeons;In the outside world, everyone is preoccupied with|my petals. Here, my thorns are given their rightful|due;In the outside world, everyone is preoccupied with|my petals. Here, my thorns are given their rightful|due;
;Bestiary questions - Rotten Apple - Favourite food;Myself, an apple;Myself, an apple;
;Bestiary questions - Rotten Apple - Likes;Other apples, pears in a pinch;Other apples, pears in a pinch;
;Bestiary questions - Rotten Apple - Dislikes;Bananas;Bananas;
;Bestiary questions - Rotten Apple - Reason for entering the dungeons;Created here as part of a series of terrifying|biological experiments;Created here as part of a series of terrifying|biological experiments;
;Jester (Round 5 end alternate);Wow. Wow! I never lost this often!||You know what? You're not going to win,|but I'm glad you're trying.||You just stick at it. Burn the dungeons|down. Why not?;Wow. Wow! I never lost this often!||You know what? You're not going to win,|but I'm glad you're trying.||You just stick at it. Burn the dungeons|down. Why not?;
;Jester (Round 6 end alternate);...huh. Huh!||I mean, you aren't going to win. You just aren't.||It's not possible.||But... maybe you could at least|get out of here?...||...|Yeah! You know what? You can!||Or at least, you can try! And I'm|coming with you!;...huh. Huh!||I mean, you aren't going to win. You just aren't.||It's not possible.||But... maybe you could at least|get out of here?...||...|Yeah! You know what? You can!||Or at least, you can try! And I'm|coming with you!;
;Lady Luck (final battle);...well. I thought I'd trapped you for eternity, but I see|you've been running around the Dungeons yet again.;...well. I thought I'd trapped you for eternity, but I see|you've been running around the Dungeons yet again.;
;Contestant;I've come to get my friends.;I've come to get my friends.;
;Lady Luck (final battle);And you've made some new ones?;And you've made some new ones?;
;Contestant;Yeah, when I told them I was going to take you down|they were all really keen to join in.||You're not super popular around here, you know.;Yeah, when I told them I was going to take you down|they were all really keen to join in.||You're not super popular around here, you know.;
;Lady Luck (final battle);Oh, my dear.||I don't need popularity.||I have POWER.||As you're about to find out.;Oh, my dear.||I don't need popularity.||I have POWER.||As you're about to find out.;
;Lady Luck (final battle);You don't like my rules?||Well, BAD LUCK, because it's time for some more!||MORE RULES FOR EVERYONE!;You don't like my rules?||Well, BAD LUCK, because it's time for some more!||MORE RULES FOR EVERYONE!;
;Lady Luck (final battle);Well, look at that, you're still just about alive.||And I know how hard you've worked to get this far -|it almost seems a shame to end it all.||Oh wait, no it doesn't.||In fact it seems LONG OVERDUE and VERY|SATISFYING TO ME PERSONALLY.;Well, look at that, you're still just about alive.||And I know how hard you've worked to get this far -|it almost seems a shame to end it all.||Oh wait, no it doesn't.||In fact it seems LONG OVERDUE and VERY|SATISFYING TO ME PERSONALLY.;
;Lady Luck (final battle);I warned you that you were doomed, and|you didn't believe me!||Let's see if it starts to sink in over the|next millennium or four.||BACK IN THE DUNGEONS. ALL OF|YOU. FOR ETERNITY.;I warned you that you were doomed, and|you didn't believe me!||Let's see if it starts to sink in over the|next millennium or four.||BACK IN THE DUNGEONS. ALL OF|YOU. FOR ETERNITY.;
;Lady Luck (final battle);Nooooooooo! IMPOSSIBLE!;Nooooooooo! IMPOSSIBLE!;
;Lady Luck (final battle);...|...|...and AMAZING.;...|...|...and AMAZING.;
;Warrior_finale;I can do it! Just hold on!||We've come this far, I'm gonna get you|all, I promise!;I can do it! Just hold on!||We've come this far, I'm gonna get you|all, I promise!;
;Thief_finale;I can make it!||But if you think I'm risking myself to come back and|get you lot, you're... you're...||...||UGH, I guess you're right. FINE.||Hold on, I'm gonna come and get you out!;I can make it!||But if you think I'm risking myself to come back and|get you lot, you're... you're...||...||UGH, I guess you're right. FINE.||Hold on, I'm gonna come and get you out!;
;Robot_finale;Okay! Okay! I can do this!||You'll be okay, just wait for me!||Keep calm, remember those breathing|exercises I taught you.||AAAAA IT'S ALL DOWN TO ME WHAT DO I DO,|WHAT DO I DO?||BREATHE IN, 2, 3, 4! HOLD, 2, 3, 4!|OUT, 2, 3, 4!;Okay! Okay! I can do this!||You'll be okay, just wait for me!||Keep calm, remember those breathing|exercises I taught you.||AAAAA IT'S ALL DOWN TO ME WHAT DO I DO,|WHAT DO I DO?||BREATHE IN, 2, 3, 4! HOLD, 2, 3, 4!|OUT, 2, 3, 4!;
;Inventor_finale;I can make it! Right! Okay!||I THINK I've got the hang of how the Dungeons|work now, so just wait for me...||I'll get you as fast as I can...;I can make it! Right! Okay!||I THINK I've got the hang of how the Dungeons|work now, so just wait for me...||I'll get you as fast as I can...;
;Witch_finale;I'm gonna get you!||I'm gonna fight my way through and I'm|gonna find you and then...||We're ALL GOING HOME!;I'm gonna get you!||I'm gonna fight my way through and I'm|gonna find you and then...||We're ALL GOING HOME!;
;Jester_finale;Yes! I can make it!||It's my turn to play the hero!||I'm coming to get you! All of you! And the Frog,|and Baby Squid, and EVERYONE.||We're gonna beat Lady Luck and we're|gonna LEAVE THE DUNGEONS!||Just you wait and see!;Yes! I can make it!||It's my turn to play the hero!||I'm coming to get you! All of you! And the Frog,|and Baby Squid, and EVERYONE.||We're gonna beat Lady Luck and we're|gonna LEAVE THE DUNGEONS!||Just you wait and see!;
;Beatrice;Well, if it isn't another dice!||Or wait, if it's only one of you,|is it 'douse'?|That sounds right. Anyway, welcome|to defeat, douse.;Well, if it isn't another dice!||Or wait, if it's only one of you,|is it 'douse'?|That sounds right. Anyway, welcome|to defeat, douse.;
;Beatrice;Welcome to the end of your journey!|Prepare to douse!;Welcome to the end of your journey!|Prepare to douse!;
;Beatrice;Hey, I looked it up and apparently 'douse' ISN'T the|singular of dice after all!||In modern usage 'dice' is both singular|and plural. Isn't that sweet!||Now: prepare to dice.;Hey, I looked it up and apparently 'douse' ISN'T the|singular of dice after all!||In modern usage 'dice' is both singular|and plural. Isn't that sweet!||Now: prepare to dice.;
;Beatrice;Oh, it's another dice!||Adorable! Which one are you?||No, don't tell me, I'm not going to remember,|honestly I was only asking to be polite.;Oh, it's another dice!||Adorable! Which one are you?||No, don't tell me, I'm not going to remember,|honestly I was only asking to be polite.;
;Beatrice;Oh hello there! I've been thinking about what to|say if you turned up again.||I was workshopping something around 'DICE-truction',|but then I got bored of thinking about you.;Oh hello there! I've been thinking about what to|say if you turned up again.||I was workshopping something around 'DICE-truction',|but then I got bored of thinking about you.;
;Beatrice;You again! You might trick me once, but I|won't let you trick me, dice.;You again! You might trick me once, but I|won't let you trick me, dice.;
;Beatrice;Welcome back, sweetie. Time to dice with death?|Hmm, no, just time to death some dice I think.;Welcome back, sweetie. Time to dice with death?|Hmm, no, just time to death some dice I think.;
;Madison;"Hi! I'm Madison, and I only have one more fight to win|before I qualify for my 'Beating Dice Easily In|Boss Fights' badge! ";"Hi! I'm Madison, and I only have one more fight to win|before I qualify for my 'Beating Dice Easily In|Boss Fights' badge! ";
;Madison;Hey! I'm Madison, and I'm going to grow up|to be like Lady Luck!||...and in the meantime, I'm going to make|your day REALLY MISERABLE!;Hey! I'm Madison, and I'm going to grow up|to be like Lady Luck!||...and in the meantime, I'm going to make|your day REALLY MISERABLE!;
;Madison;Oh HELLO! I was just writing in my diary and I|didn't have much to say about today...||But BEATING YOU TERRIBLY in a fight is|going to make a GREAT entry!;Oh HELLO! I was just writing in my diary and I|didn't have much to say about today...||But BEATING YOU TERRIBLY in a fight is|going to make a GREAT entry!;
;Madison;Honestly it's SO rude of you to keep trying to beat us|all like this when it's CLEAR you're never going|to get your heart's desire.;Honestly it's SO rude of you to keep trying to beat us|all like this when it's CLEAR you're never going|to get your heart's desire.;
;Madison;Hello! Would you like to buy some cookies?||Or would you rather I beat you in a big ol' fight?||Never mind, I know which one I'M in the mood for...;Hello! Would you like to buy some cookies?||Or would you rather I beat you in a big ol' fight?||Never mind, I know which one I'M in the mood for...;
;Madison;Before I came down to the dungeons I used|to get told off for fighting.||Now I'm the boss of a whole episode! So LET'S FIGHT.;Before I came down to the dungeons I used|to get told off for fighting.||Now I'm the boss of a whole episode! So LET'S FIGHT.;
;Buster;Oh! Is it time for more fighting? I love fighting! Let's go!;Oh! Is it time for more fighting? I love fighting! Let's go!;
;Buster;Oh! I was asleep! But I can be awake!||Hello! Hello! I'm awake! Let's fight!;Oh! I was asleep! But I can be awake!||Hello! Hello! I'm awake! Let's fight!;
;Buster;Oh! I was sleeping again!||It's so weird that you always come when I'm asleep!||Oh or maybe it's because I'm ALWAYS asleep?|Anyway, let's fight!;Oh! I was sleeping again!||It's so weird that you always come when I'm asleep!||Oh or maybe it's because I'm ALWAYS asleep?|Anyway, let's fight!;
;Buster;You're a dice! Hello! Hello! I love meeting dice!||DID YOU KNOW that DICE rhymes with NICE?||Maybe that's why you're a dice AND nice!|Let's fight!;You're a dice! Hello! Hello! I love meeting dice!||DID YOU KNOW that DICE rhymes with NICE?||Maybe that's why you're a dice AND nice!|Let's fight!;
;Buster;Oh! Hey! Do you like sleeping or fighting more?||MY favourite thing is to fight IN MY DREAMS,|so I can do both at once!;Oh! Hey! Do you like sleeping or fighting more?||MY favourite thing is to fight IN MY DREAMS,|so I can do both at once!;
;Buster;Hey! Hey! It's me! I'm a good fighter!||Are you a good fighter? Let's find out!;Hey! Hey! It's me! I'm a good fighter!||Are you a good fighter? Let's find out!;
;Buster;Oh! Is it time for a nap or a fight?||I know! Let's have a fight and THEN a nap!;Oh! Is it time for a nap or a fight?||I know! Let's have a fight and THEN a nap!;
;Buster;Oh! Oh! There's someone at the trapdoor! Quick!||Oh it's okay, it was you!||Are you here for a fight? I'm ready!;Oh! Oh! There's someone at the trapdoor! Quick!||Oh it's okay, it was you!||Are you here for a fight? I'm ready!;
;Drake;I've got to fight a walking dice?||I'm FOUR HUNDRED and SEVENTY SIX years old.||This is entirely beneath my dignity. But|I guess let's get it over with.;I've got to fight a walking dice?||I'm FOUR HUNDRED and SEVENTY SIX years old.||This is entirely beneath my dignity. But|I guess let's get it over with.;
;Drake;I can smell something. Have you been eating garlic?||It doesn't count if you win and|you've been eating garlic!;I can smell something. Have you been eating garlic?||It doesn't count if you win and|you've been eating garlic!;
;Drake;Back when I first became a vampire, the people who tried|to fight me would wear top hats and huge petticoats|and they'd come in big horse-drawn carriages.||But now: another big old walking dice.;Back when I first became a vampire, the people who tried|to fight me would wear top hats and huge petticoats|and they'd come in big horse-drawn carriages.||But now: another big old walking dice.;
;Drake;"Oh look, it's yet another dice come to fight me.||Well, good luck. I'm almost invulnerable and I'm five|centuries old, so fingers crossed for you I guess. ";"Oh look, it's yet another dice come to fight me.||Well, good luck. I'm almost invulnerable and I'm five|centuries old, so fingers crossed for you I guess. ";
;Drake;Oh, it's time for another fight, is it?||Well, I'll have you know that I accidentally ate some garlic|naan earlier so I'm NOT feeling myself, but fine!||If it's a fight you want then it's a fight you'll get.;Oh, it's time for another fight, is it?||Well, I'll have you know that I accidentally ate some garlic|naan earlier so I'm NOT feeling myself, but fine!||If it's a fight you want then it's a fight you'll get.;
;Scathach;The half-silent whisper of the underground night carried|news to me that you were nigh.||So I am entirely ready to beat you, just so you know.;The half-silent whisper of the underground night carried|news to me that you were nigh.||So I am entirely ready to beat you, just so you know.;
;Scathach;The ethereal echoes of the cave speak to me of|your future, and they say:||You're about to die.;The ethereal echoes of the cave speak to me of|your future, and they say:||You're about to die.;
;Scathach;As fall the distant stars in the clear night sky,|so fall you in, you know...||...this fight that I'm about to beat you in.;As fall the distant stars in the clear night sky,|so fall you in, you know...||...this fight that I'm about to beat you in.;
;Scathach;When the dungeons deep beneath the earth|lie empty, and the moonlight shines into their|hollowed-out spaces...|...still will you be trapped here losing all|your fights like a loser.;When the dungeons deep beneath the earth|lie empty, and the moonlight shines into their|hollowed-out spaces...|...still will you be trapped here losing all|your fights like a loser.;
;Scathach;Hey, I heard that eternity's blank eyes will see you|fall and falter and fall again. Starting now.;Hey, I heard that eternity's blank eyes will see you|fall and falter and fall again. Starting now.;
;Scathach;Deep below even these dungeons, the firey heart|of the earth awaits your inevitable failure.||So can we get started? Don't want to keep|the firey heart of the earth waiting.;Deep below even these dungeons, the firey heart|of the earth awaits your inevitable failure.||So can we get started? Don't want to keep|the firey heart of the earth waiting.;
;Scathach;Though the sweet river empties perpetually into the sea,|still is the sea itself filled with salt.||On a pretty similar note, it doesn't matter how|many times you come and fight me:||you're still going to lose.;Though the sweet river empties perpetually into the sea,|still is the sea itself filled with salt.||On a pretty similar note, it doesn't matter how|many times you come and fight me:||you're still going to lose.;
;Aoife;Another fight? Yeah, go on then.;Another fight? Yeah, go on then.;
;Aoife;More fighting? I couldn't, I'm stuffed.||...|Ah okay, just one more.;More fighting? I couldn't, I'm stuffed.||...|Ah okay, just one more.;
;Aoife;Ooh, another fight? Don't mind if I do.;Ooh, another fight? Don't mind if I do.;
;Aoife;I swore I wasn't going to have a fight today, but|if you're going to leave it RIGHT THERE...;I swore I wasn't going to have a fight today, but|if you're going to leave it RIGHT THERE...;
;Aoife;My dentist told me I shouldn't fight after|I've brushed my teeth.||So I fought her. I won, obviously.;My dentist told me I shouldn't fight after|I've brushed my teeth.||So I fought her. I won, obviously.;
;Aoife;I'm not really in the mood for fighting.||But if nobody else is going to take it...;I'm not really in the mood for fighting.||But if nobody else is going to take it...;
;Aoife;Oh I've been in the mood for a big juicy fight all|day, and here you are. Perfect.;Oh I've been in the mood for a big juicy fight all|day, and here you are. Perfect.;
;Aoife;Oh, a fight? Honestly I couldn't, not an empty stomach.||Wait, no, I had some toast earlier so: YEAH|COME ON THEN LET'S GO.;Oh, a fight? Honestly I couldn't, not an empty stomach.||Wait, no, I had some toast earlier so: YEAH|COME ON THEN LET'S GO.;
;Aoife;Apparently I shouldn't be having more than|three or four fights a week.||So... you'd better make this one worth it.;Apparently I shouldn't be having more than|three or four fights a week.||So... you'd better make this one worth it.;
;Audrey;One! Two! Three! Sword! And One! Two! Three! Shield!||Hope you've done all your drills!;One! Two! Three! Sword! And One! Two! Three! Shield!||Hope you've done all your drills!;
;Audrey;Hey! You there! Believe in yourself!||You can do it! You can win!||Maybe not today, because I'm going to do my very|best to beat you, but... one day!;Hey! You there! Believe in yourself!||You can do it! You can win!||Maybe not today, because I'm going to do my very|best to beat you, but... one day!;
;Audrey;Ready for a fight? Yeah! Even if you don't|win it's good training!||Walk in strong, roll out stronger!;Ready for a fight? Yeah! Even if you don't|win it's good training!||Walk in strong, roll out stronger!;
;Audrey;Yeah! It's fighting time! Remember: even if you lose, you're|still way ahead of the dice who aren't trying!;Yeah! It's fighting time! Remember: even if you lose, you're|still way ahead of the dice who aren't trying!;
;Audrey;Yeah, it's you again! That's great! You're getting|better at this EVERY DAY.||And remember: you lose 100% of the fights you don't get into.;Yeah, it's you again! That's great! You're getting|better at this EVERY DAY.||And remember: you lose 100% of the fights you don't get into.;
;Audrey;Hey, I'm so proud of you for sticking with this,|even when it's hard!||Remember: roll harder than yesterday if you|want a different tomorrow!;Hey, I'm so proud of you for sticking with this,|even when it's hard!||Remember: roll harder than yesterday if you|want a different tomorrow!;
;Audrey;Yeah, it's time for another boss battle!||You been practicing? Let's get to it! Deep breaths,|centre yourself, and... FIGHT!;Yeah, it's time for another boss battle!||You been practicing? Let's get to it! Deep breaths,|centre yourself, and... FIGHT!;
;Audrey;You're here again! That's great!|Every roll counts!||Remember: tomorrow's CAN is built on|today's CAN'T QUITE!;You're here again! That's great!|Every roll counts!||Remember: tomorrow's CAN is built on|today's CAN'T QUITE!;
;Frog_finale;Wait, YOU'RE going up against Lady Luck?||YOU? You've barely been here five minutes!||What have YOU got to complain about?||I've been asking for better equipment for YEARS and nothing,|and now YOU think you're the one who's been wronged?||I'll show you!;Wait, YOU'RE going up against Lady Luck?||YOU? You've barely been here five minutes!||What have YOU got to complain about?||I've been asking for better equipment for YEARS and nothing,|and now YOU think you're the one who's been wronged?||I'll show you!;
;Frog_finale;WHAT. WHAT.||...|Hey um, if you DO manage to beat Lady Luck, could|you ask if I can get that sword upgrade I've been|asking for?||I could... I could come with you?|If that would help?;WHAT. WHAT.||...|Hey um, if you DO manage to beat Lady Luck, could|you ask if I can get that sword upgrade I've been|asking for?||I could... I could come with you?|If that would help?;
;Gardener_finale;You AGAIN? Trampling on my tomatoes?||Not that they get enough sunlight to ripen down|here, but that's NOT THE POINT.||Perish, enemy!;You AGAIN? Trampling on my tomatoes?||Not that they get enough sunlight to ripen down|here, but that's NOT THE POINT.||Perish, enemy!;
;Gardener_finale;...well. Well, I can't say I approve. But...||But if you're really going up against Lady Luck,|and you won't win but IF you do...||...could you get her to put a sunlight in?|I could... I could maybe help you?;...well. Well, I can't say I approve. But...||But if you're really going up against Lady Luck,|and you won't win but IF you do...||...could you get her to put a sunlight in?|I could... I could maybe help you?;
;Hothead_finale;Ugh, you AGAIN. Why can't I ever get a cool|opponent to fight?||You know your friends are all doomed, right?;Ugh, you AGAIN. Why can't I ever get a cool|opponent to fight?||You know your friends are all doomed, right?;
;Hothead_finale;...this is such a waste of time. You KEEP trying and|it's not going to get you ANYWHERE.||...|...|... Okay, look...||...I guess it's cool that you're going to try to take Lady Luck|down so I'm going to come with you.||But this DOESN'T mean you can tell|anyone we're hanging out.;...this is such a waste of time. You KEEP trying and|it's not going to get you ANYWHERE.||...|...|... Okay, look...||...I guess it's cool that you're going to try to take Lady Luck|down so I'm going to come with you.||But this DOESN'T mean you can tell|anyone we're hanging out.;
;Magician_finale;Behold, nothing up my sleeves - except|your inevitable defeat!;Behold, nothing up my sleeves - except|your inevitable defeat!;
;Magician_finale;Well. Very impressive.||Look, you don't... you don't need a magician|to help you out, do you?||I heard you're going up against Lady Luck, and there|are a few complaints from the rest of us that I|wouldn't mind raising with her...;Well. Very impressive.||Look, you don't... you don't need a magician|to help you out, do you?||I heard you're going up against Lady Luck, and there|are a few complaints from the rest of us that I|wouldn't mind raising with her...;
;Robobot_finale;Bzzzzt! Pew-pew-pew!||I thought you were all trapped for eternity,|but let's go, let's do this!||I'm ready! FIGHT. FIGHT. FIGHT. FIGHT.;Bzzzzt! Pew-pew-pew!||I thought you were all trapped for eternity,|but let's go, let's do this!||I'm ready! FIGHT. FIGHT. FIGHT. FIGHT.;
;Robobot_finale;WOOOOO what a fight! Pew pew pew!||I'm SO fired up now, I wanna come with|you and fight some more!;WOOOOO what a fight! Pew pew pew!||I'm SO fired up now, I wanna come with|you and fight some more!;
;Rose_finale;You again! Outrageous! I deserve better than this.||It's ridiculous that I'm still lounging around on|level one fighting STILL MORE DICE when I'm|MORE than ready to be a boss.||This is the last straw!||As soon as I've beaten you I'm going STRAIGHT to Lady Luck|and putting in a formal complaint!;You again! Outrageous! I deserve better than this.||It's ridiculous that I'm still lounging around on|level one fighting STILL MORE DICE when I'm|MORE than ready to be a boss.||This is the last straw!||As soon as I've beaten you I'm going STRAIGHT to Lady Luck|and putting in a formal complaint!;
;Rose_finale;Look. I don't like you. I never will.||...but if you're really going to take on Lady Luck,|I'm going to come with you.;Look. I don't like you. I never will.||...but if you're really going to take on Lady Luck,|I'm going to come with you.;
;Slime_finale;SLUUuuuurp! Slup!;SLUUuuuurp! Slup!;
;Slime_finale;...slurp? Slorp? ...slorple?;...slurp? Slorp? ...slorple?;
;Space Marine_finale;Woah, you again!||I thought you were going to be imprisoned and sent|into minion training, but if you're here I'm always|up for another fight! BAZAAAAM!;Woah, you again!||I thought you were going to be imprisoned and sent|into minion training, but if you're here I'm always|up for another fight! BAZAAAAM!;
;Space Marine_finale;Amazing! Congratulations!||...Hey, if you're here to fight Lady Luck, I'll be|keeping my fingers crossed for you.||And if you need some help, maybe...|maybe I could come?;Amazing! Congratulations!||...Hey, if you're here to fight Lady Luck, I'll be|keeping my fingers crossed for you.||And if you need some help, maybe...|maybe I could come?;
;Wolf Puppy_finale;Hey! Hey! It's you! You smell different!||OHHHH, because you're on a mission of vengeance|and rescue! That's great! Let's fight!;Hey! Hey! It's you! You smell different!||OHHHH, because you're on a mission of vengeance|and rescue! That's great! Let's fight!;
;Wolf Puppy_finale;Hey! Hey! I like you!||Vengeance and rescue smells GREAT!||Can I come with you to fight Lady Luck?||I'll bite her! I'm so good at biting!;Hey! Hey! I like you!||Vengeance and rescue smells GREAT!||Can I come with you to fight Lady Luck?||I'll bite her! I'm so good at biting!;
;Baby Squid_finale;Aaaaa that was great!||Maybe you really CAN beat Lady Luck!||...I guess if you win, you'll be leaving?|I'll miss you!||It's been so much fun having you around!||...Would it be okay if I join in on the rest of|this episode? One last ride?;Aaaaa that was great!||Maybe you really CAN beat Lady Luck!||...I guess if you win, you'll be leaving?|I'll miss you!||It's been so much fun having you around!||...Would it be okay if I join in on the rest of|this episode? One last ride?;
;Sneezy_finale;A... ... ...CHOO! Ugh, this SNEEZING.||...Look, is it okay if I come with you as well?|I'm SO sick of dungeons.||Literally: sick because of dungeons.||So if you're really trying to break everyone out|I wouldn't mind helping a little...;A... ... ...CHOO! Ugh, this SNEEZING.||...Look, is it okay if I come with you as well?|I'm SO sick of dungeons.||Literally: sick because of dungeons.||So if you're really trying to break everyone out|I wouldn't mind helping a little...;
;Bully_finale;You think you're soooooo good just because|you're going to fight Lady Luck!||And you are. YOU ARE. I WOULD NEVER DARE.||LET ME FOLLOW YOU AND CARRY YOUR ROCKS.;You think you're soooooo good just because|you're going to fight Lady Luck!||And you are. YOU ARE. I WOULD NEVER DARE.||LET ME FOLLOW YOU AND CARRY YOUR ROCKS.;
;Handyman_finale;Hey, you're off to fight Lady Luck, right?|Do you want a hand?||I mean, I've got so many of them...;Hey, you're off to fight Lady Luck, right?|Do you want a hand?||I mean, I've got so many of them...;
;Skeleton_finale;Wow, so many of you!||All these bones all walking around together|in one place! Can I come?||I know some of you have flesh as well... but|I'll look past it for the sake of the BONES...;Wow, so many of you!||All these bones all walking around together|in one place! Can I come?||I know some of you have flesh as well... but|I'll look past it for the sake of the BONES...;
;Singer_finale;Why are you all walking around together, anyway?||Are you going on a road trip?|Can I come?||I LOVE songs about road trips, I'll bring my|guitar and we can sing as we walk...;Why are you all walking around together, anyway?||Are you going on a road trip?|Can I come?||I LOVE songs about road trips, I'll bring my|guitar and we can sing as we walk...;
;Fireman_finale;...look, I know we're enemies, but I've|always admired your fightin'.||Can I ask a favour?||If you run into the Snowman, can you|give him a message for me?||Or... or you know what, never mind, I'm|comin' with you! Yeah! Why not!;...look, I know we're enemies, but I've|always admired your fightin'.||Can I ask a favour?||If you run into the Snowman, can you|give him a message for me?||Or... or you know what, never mind, I'm|comin' with you! Yeah! Why not!;
;Lady Luck final battle kludge;...well. I thought I'd trapped you for eternity, but I see|you've been running around the Dungeons yet again.||I've come to get my friends.||And you've made some new ones?||Yeah, when I told them I was going to take you down|they were all really keen to join in.||You're not super popular around here, you know.||Oh, my dear.||I don't need popularity.||I have POWER.||As you're about to find out.;...well. I thought I'd trapped you for eternity, but I see|you've been running around the Dungeons yet again.||I've come to get my friends.||And you've made some new ones?||Yeah, when I told them I was going to take you down|they were all really keen to join in.||You're not super popular around here, you know.||Oh, my dear.||I don't need popularity.||I have POWER.||As you're about to find out.;
;Lady Luck final battle talking to warrior;WARRIOR>...well. I thought I'd trapped you for eternity, but I see|you've been running around the Dungeons yet again.||I've come to get my friends.||And you've made some new ones?||Yeah, when I told them I was going to take you down|they were all really keen to join in.||You're not super popular around here, you know.||Oh, my dear.||I don't need popularity.||I have POWER.||As you're about to find out.;WARRIOR>...well. I thought I'd trapped you for eternity, but I see|you've been running around the Dungeons yet again.||I've come to get my friends.||And you've made some new ones?||Yeah, when I told them I was going to take you down|they were all really keen to join in.||You're not super popular around here, you know.||Oh, my dear.||I don't need popularity.||I have POWER.||As you're about to find out.;
;Lady Luck final battle talking to thief;THIEF>...well. I thought I'd trapped you for eternity, but I see|you've been running around the Dungeons yet again.||I've come to get my friends.||And you've made some new ones?||Yeah, when I told them I was going to take you down|they were all really keen to join in.||You're not super popular around here, you know.||Oh, my dear.||I don't need popularity.||I have POWER.||As you're about to find out.;THIEF>...well. I thought I'd trapped you for eternity, but I see|you've been running around the Dungeons yet again.||I've come to get my friends.||And you've made some new ones?||Yeah, when I told them I was going to take you down|they were all really keen to join in.||You're not super popular around here, you know.||Oh, my dear.||I don't need popularity.||I have POWER.||As you're about to find out.;
;Lady Luck final battle talking to robot;ROBOT>...well. I thought I'd trapped you for eternity, but I see|you've been running around the Dungeons yet again.||I've come to get my friends.||And you've made some new ones?||Yeah, when I told them I was going to take you down|they were all really keen to join in.||You're not super popular around here, you know.||Oh, my dear.||I don't need popularity.||I have POWER.||As you're about to find out.;ROBOT>...well. I thought I'd trapped you for eternity, but I see|you've been running around the Dungeons yet again.||I've come to get my friends.||And you've made some new ones?||Yeah, when I told them I was going to take you down|they were all really keen to join in.||You're not super popular around here, you know.||Oh, my dear.||I don't need popularity.||I have POWER.||As you're about to find out.;
;Lady Luck final battle talking to inventor;INVENTOR>...well. I thought I'd trapped you for eternity, but I see|you've been running around the Dungeons yet again.||I've come to get my friends.||And you've made some new ones?||Yeah, when I told them I was going to take you down|they were all really keen to join in.||You're not super popular around here, you know.||Oh, my dear.||I don't need popularity.||I have POWER.||As you're about to find out.;INVENTOR>...well. I thought I'd trapped you for eternity, but I see|you've been running around the Dungeons yet again.||I've come to get my friends.||And you've made some new ones?||Yeah, when I told them I was going to take you down|they were all really keen to join in.||You're not super popular around here, you know.||Oh, my dear.||I don't need popularity.||I have POWER.||As you're about to find out.;
