Changed?,String,String_uk,Location,Notes,
,[quote]Sure[;] the dungeons|are getting harder.|Maybe someone weak|would give up.||But this is a competition|and I'm still in it|to win it![quote],[quote]Sure[;] the dungeons|are getting harder.|Maybe someone weak|would give up.||But this is a competition|and I'm still in it|to win it![quote],Character Selection,Thief midgame description text,
,[quote]Really beeping and|booping my way through|these dungeons!||I'm sure if I try|hard enough[;] I won't|mess up any more![quote],[quote]Really beeping and|booping my way through|these dungeons!||I'm sure if I try|hard enough[;] I won't|mess up any more![quote],Character Selection,Robot midgame description text,
,[quote]Are all these sets on a|big rotating stage? How|does the shopkeeper|move around so fast?||I guess if I win|ultimate knowledge[;]|I can find out![quote],[quote]Are all these sets on a|big rotating stage? How|does the shopkeeper|move around so fast?||I guess if I win|ultimate knowledge[;]|I can find out![quote],Character Selection,Inventor midgame description text,
,[quote]Hi everyone! I'm learning|so much about myself[;]|and also about|fighting monsters!||#blesse- Oh no! There's|no signal! What's|the WiFi password?[quote],[quote]Hi everyone! I'm learning|so much about myself[;]|and also about|fighting monsters!||#blesse- Oh no! There's|no signal! What's|the WiFi password?[quote],Character Selection,Witch midgame description text,
,[quote]You may remember|me from all those|fights where I was|a cool enemy!||But I'm glad to be|a giant fighting dice|now. This is fine.[quote],[quote]You may remember|me from all those|fights where I was|a cool enemy!||But I'm glad to be|a giant fighting dice|now. This is fine.[quote],Character Selection,Jester midgame description text,
,[quote]Look[;] I do really|want super-strength|and a monster truck[;]|but maybe we could|all just go home|some time?[quote],[quote]Look[;] I do really|want super-strength|and a monster truck[;]|but maybe we could|all just go home|some time?[quote],Character Selection,Warrior endgame description text,
,[quote]This is... tougher than I|expected! If I don't win|the billion dollars I'll|have to sue for a|billion dollars!||Wait[;] why is my signature|on this liability waiver?[quote],[quote]This is... tougher than I|expected! If I don't win|the billion dollars I'll|have to sue for a|billion dollars!||Wait[;] why is my signature|on this liability waiver?[quote],Character Selection,Thief endgame description text,
,[quote]Hey[;] could I get a coffee[;]|do you think? I've been|sleeping so badly down|here.||Haha[;] kinda funny that|I'm trying to win a life|without sleep! Isn't it![quote],[quote]Hey[;] could I get a coffee[;]|do you think? I've been|sleeping so badly down|here.||Haha[;] kinda funny that|I'm trying to win a life|without sleep! Isn't it![quote],Character Selection,Robot endgame description text,
,[quote]The closer I look at|all these contraptions|and gadgets[;] the more|they seem built to stop|us from winning.||But that can't be right![quote],[quote]The closer I look at|all these contraptions|and gadgets[;] the more|they seem built to stop|us from winning.||But that can't be right![quote],Character Selection,Inventor endgame description text,
,[quote]Hi everyone! Still here|in the dungeons[;] and|it's such a wonderful...|um[;] a great...  ugh[;] sorry[;]|can we re-record?||No? Oh.[quote],[quote]Hi everyone! Still here|in the dungeons[;] and|it's such a wonderful...|um[;] a great...  ugh[;] sorry[;]|can we re-record?||No? Oh.[quote],Character Selection,Witch endgame description text,
,[quote]Hello there! I've made|my bed[;] and now I'm|going to burn it down!||The bed is a metaphor|for the dungeons![quote],[quote]Hello there! I've made|my bed[;] and now I'm|going to burn it down!||The bed is a metaphor|for the dungeons![quote],Character Selection,Jester endgame description text,
,[quote]We defeated Lady Luck[;]|so I'm just having fun|now! Having fun and|staying hydrated!||Fighting monsters is an|amazing workout![quote],[quote]We defeated Lady Luck[;]|so I'm just having fun|now! Having fun and|staying hydrated!||Fighting monsters is an|amazing workout![quote],Character Selection,Warrior post-endgame description text,
,[quote]You know[;] I might not|have a billion dollars[;]|but if I find enough of|those solid gold coins|they'll be worth a|whole lot in the outside|world...[quote],[quote]You know[;] I might not|have a billion dollars[;]|but if I find enough of|those solid gold coins|they'll be worth a|whole lot in the outside|world...[quote],Character Selection,Thief post-endgame description text,
,[quote]Returning to the|dungeons is a great way|to spend time with friends|and keep myself sharp!||I even brought some|thoughtful gifts for|the monsters.[quote],[quote]Returning to the|dungeons is a great way|to spend time with friends|and keep myself sharp!||I even brought some|thoughtful gifts for|the monsters.[quote],Character Selection,Robot post-endgame description text,
,[quote]Now that we're not all|distracted by trying to|escape[;] maybe I'll|finally be able to figure|out how this place|works![quote],[quote]Now that we're not all|distracted by trying to|escape[;] maybe I'll|finally be able to figure|out how this place|works![quote],Character Selection,Inventor post-endgame description text,
,[quote]Hey[;] friends! Turns out|you loved my Dicey|Dungeons videos[;] so I'm|back for more. Hope you|like them... just don't|forget to watch my non|dungeon content as well![quote],[quote]Hey[;] friends! Turns out|you loved my Dicey|Dungeons videos[;] so I'm|back for more. Hope you|like them... just don't|forget to watch my non|dungeon content as well![quote],Character Selection,Witch post-endgame description text,
,[quote]I'm glad I can leave now[;]|but I lived in the dungeons|for hundreds of years.||You can't blame me|for getting homesick|sometimes...[quote],[quote]I'm glad I can leave now[;]|but I lived in the dungeons|for hundreds of years.||You can't blame me|for getting homesick|sometimes...[quote],Character Selection,Jester post-endgame description text,
,Design,Design,Final Credits,Credit headers as they will appear in the ending,
,Music and Audio,Music and Audio,Final Credits,Credit headers as they will appear in the ending,
,Art[;] Animation and Character Design,Art[;] Animation and Character Design,Final Credits,Credit headers as they will appear in the ending,
,Programming,Programming,Final Credits,Credit headers as they will appear in the ending,
,PR and Marketing,PR and Marketing,Final Credits,Credit headers as they will appear in the ending,
,Writing,Writing,Final Credits,Credit headers as they will appear in the ending,
,Polymod Support,Polymod Support,Final Credits,Credit headers as they will appear in the ending,
,Voice Acting,Voice Acting,Final Credits,Credit headers as they will appear in the ending,
,Proofreading,Proofreading,Final Credits,Credit headers as they will appear in the ending,
,Launch Trailer,Launch Trailer,Final Credits,Credit headers as they will appear in the ending,
,PAX South Trailer,PAX South Trailer,Final Credits,Credit headers as they will appear in the ending,
,Design Contributions (Enemies),Design Contributions (Enemies),Final Credits,Credit headers as they will appear in the ending,
,Design Contributions (Equipment),Design Contributions (Equipment),Final Credits,Credit headers as they will appear in the ending,
,Design Contributions (Systems),Design Contributions (Systems),Final Credits,Credit headers as they will appear in the ending,
,Design Contributions (Detailed Playtesting),Design Contributions (Detailed Playtesting),Final Credits,Credit headers as they will appear in the ending,
,Beta Testing,Beta Testing,Final Credits,Credit headers as they will appear in the ending,
,German Translation,German Translation,Final Credits,Credit headers as they will appear in the ending,
,French Translation,French Translation,Final Credits,Credit headers as they will appear in the ending,
,Spanish Translation,Spanish Translation,Final Credits,Credit headers as they will appear in the ending,
,Irish Translation,Irish Translation,Final Credits,Credit headers as they will appear in the ending,
,Korean Translation,Korean Translation,Final Credits,Credit headers as they will appear in the ending,
,Chinese Translation (Simplified),Chinese Translation (Simplified),Final Credits,Credit headers as they will appear in the ending,
,Chinese Translation (Traditional),Chinese Translation (Traditional),Final Credits,Credit headers as they will appear in the ending,
,Japanese Translation,Japanese Translation,Final Credits,Credit headers as they will appear in the ending,
,Silesian Translation,Silesian Translation,Final Credits,Credit headers as they will appear in the ending,
,Italian Translation,Italian Translation,Final Credits,Credit headers as they will appear in the ending,
,Portuguese Translation,Portuguese Translation,Final Credits,Credit headers as they will appear in the ending,
,Brazillian Portuguese Translation,Brazillian Portuguese Translation,Final Credits,Credit headers as they will appear in the ending,
,Dutch Translation,Dutch Translation,Final Credits,Credit headers as they will appear in the ending,
,Russian Translation,Russian Translation,Final Credits,Credit headers as they will appear in the ending,
,Polish Translation,Polish Translation,Final Credits,Credit headers as they will appear in the ending,
,Turkish Translation,Turkish Translation,Final Credits,Credit headers as they will appear in the ending,
,Publishing in China,Publishing in China,Final Credits,Credit headers as they will appear in the ending,
,Special Thanks,Special Thanks,Final Credits,Credit headers as they will appear in the ending,
,Everyone on the dicecord[;] for their amazing feedback and support [heart],Everyone on the dicecord[;] for their amazing feedback and support [heart],Final Credits,Special thanks,
,Favourite food,Favourite food,Challenges,Questionaire categories,
,Job,Job,Challenges,Questionaire categories,
,Hobbies,Hobbies,Challenges,Questionaire categories,
,Greatest fear,Greatest fear,Challenges,Questionaire categories,
,Childhood pet,Childhood pet,Challenges,Questionaire categories,
,Likes,Likes,Challenges,Questionaire categories,
,Dislikes,Dislikes,Challenges,Questionaire categories,
,Secret shame,Secret shame,Challenges,Questionaire categories,
,Happiest moment,Happiest moment,Challenges,Questionaire categories,
,Favourite book,Favourite book,Challenges,Questionaire categories,
,Karaoke go-to,Karaoke go-to,Challenges,Questionaire categories,
,Six things you couldn't live without,Six things you couldn't live without,Challenges,Questionaire categories,
,Reason for entering the dungeons,Reason for entering the dungeons,Challenges,Questionaire categories,
,Reason for entering,Reason for entering,Challenges,Questionaire categories,
,Turn-ons,Turn-ons,Challenges,Questionaire categories (snowman only),
,Turn-offs,Turn-offs,Challenges,Questionaire categories (snowman only),
,Bear_Transform,Bear_Transform,Status Effect,New special bonus round status effect,
,Counter reduces by one on each turn.|If it reaches zero[;] transform into a bear.,Counter reduces by one on each turn.|If it reaches zero[;] transform into a bear.,Status Effect,,
,Extra,Extra,Status Effect,New special bonus round status effect,
,Do [sword]<value> extra damage with each attack this turn.,Do [sword]<value> extra damage with each attack this turn.,Status Effect,,
,Reflect,Reflect,Status Effect,New special bonus round status effect,
,If defeated[;] reflect any excessive damage back at you.,If defeated[;] reflect any excessive damage back at you.,Status Effect,,
,Curse of Greed,Curse of Greed,Episode Selection,Updated episode rules – used to be This'll be fine,
,Worse than a Curse,Worse than a Curse,Episode Selection,Updated episode rules – used to be Vampiric Tendancies,
,You seem pretty tough! Do you really need all that health?|Nah[;] you'll be fine without it.,You seem pretty tough! Do you really need all that health?|Nah[;] you'll be fine without it.,Episode Selection,Updated episode rules – rules for Worse than a Curse,
,Elimination Round,Elimination Round,Episode Selection,Updated episode rules – new name for what used to be classic hard mode,
,You've got your usual equipment[;] usual health[;] everything.|It's a shame all your enemies have extra health and|upgraded weapons.,You've got your usual equipment[;] usual health[;] everything.|It's a shame all your enemies have extra health and|upgraded weapons.,Episode Selection,Updated episode rules – new description for elimination round,
,Parallel Universe,Parallel Universe,Episode Selection,Updated episode rules,
,Woah[;] everything's different!,Woah[;] everything's different!,Episode Selection,Updated episode rules – description for parallel universe,
,Bonus Round,Bonus Round,Episode Selection,Updated episode rules – sixth and final episode,
,Everything's back to normal again! Until you go down|a floor - the further you go into the dungeons[;] the more|the rules change...,Everything's back to normal again! Until you go down|a floor - the further you go into the dungeons[;] the more|the rules change...,Episode Selection,Updated episode rules,
,Start with standard rules.,Start with standard rules.,Episode Selection,Updated episode rules,
,Gain bonus rules as you descend further.,Gain bonus rules as you descend further.,Episode Selection,Updated episode rules,
,Random,Random,Remix screen,Rule changes,
,All enemy equipment is upgraded.,All enemy equipment is upgraded.,Remix screen,Remixed rule,
,Both you and your enemies start each|fight with [fury]Fury[].,Both you and your enemies start each|fight with [fury]Fury[].,Remix screen,Remixed rule,
,Enemies can throw unused dice at you.,Enemies can throw unused dice at you.,Remix screen,Remixed rule,
,Enemies get 20% extra health.,Enemies get 20% extra health.,Remix screen,Remixed rule,
,You are [curse]Cursed[] at the start of|every turn.,You are [curse]Cursed[] at the start of|every turn.,Remix screen,Remixed rule,
,Enemies will [dodge]Dodge[] your first|attack every turn.,Enemies will [dodge]Dodge[] your first|attack every turn.,Remix screen,Remixed rule,
,Burning dice cost [heart]5[] hp to extinguish.,Burning dice cost [heart]5[] hp to extinguish.,Remix screen,Remixed rule,
,One of your dice is [ice]Frozen at the|start of every turn.,One of your dice is [ice]Frozen at the|start of every turn.,Remix screen,Remixed rule,
,One of your dice is [fire]Burning at the|start of every turn.,One of your dice is [fire]Burning at the|start of every turn.,Remix screen,Remixed rule,
,On your first turn[;] all your dice rolls|are the same number.,On your first turn[;] all your dice rolls|are the same number.,Remix screen,Remixed rule,
,Enemies get 10% extra health.,Enemies get 10% extra health.,Remix screen,Remixed rule,
,Enemies have a chance to go first.,Enemies have a chance to go first.,Remix screen,Remixed rule,
,Everything in the dungeon looks like|a treasure chest.,Everything in the dungeon looks like|a treasure chest.,Remix screen,Remixed rule,
,One of your dice is [blind]Blinded at the|start of every turn.,One of your dice is [blind]Blinded at the|start of every turn.,Remix screen,Remixed rule,
,Poison is no longer reduced by 1|each turn.,Poison is no longer reduced by 1|each turn.,Remix screen,Remixed rule,
,Start with 2 extra dice. Lose 1 dice|every turn[;] until you have just 1 left.,Start with 2 extra dice. Lose 1 dice|every turn[;] until you have just 1 left.,Remix screen,Remixed rule,
,If your CPU counter exceeds the|target[;] take [heart]5[] damage.,If your CPU counter exceeds the|target[;] take [heart]5[] damage.,Remix screen,Remixed rule,
,The odds of [curse]Curse[] triggering is|reduced to 25%.,The odds of [curse]Curse[] triggering is|reduced to 25%.,Remix screen,Remixed rule,
,Instead of causing equipment to fail[;]|[curse]Curse[] reverses your target.,Instead of causing equipment to fail[;]|[curse]Curse[] reverses your target.,Remix screen,Remixed rule,
,Enemies start each fight with [fury]Fury[].,Enemies start each fight with [fury]Fury[].,Remix screen,Remixed rule,
,All enemies get a Rock.,All enemies get a Rock.,Remix screen,Remixed rule,
,Lose a dice.,Lose a dice.,Remix screen,Remixed rule,
,Lose [heart]10[] max health.,Lose [heart]10[] max health.,Remix screen,Remixed rule,
,Enemies always roll a 6.,Enemies always roll a 6.,Remix screen,Remixed rule,
,You need an even dice to unshock|[shock]Shocked[] equipment.,You need an even dice to unshock|[shock]Shocked[] equipment.,Remix screen,Remixed rule,
,All enemies get an extra dice.,All enemies get an extra dice.,Remix screen,Remixed rule,
,Status effects are different.,Status effects are different.,Remix screen,Remixed rule,
,After 4 turns[;] all enemies transform|into bears.,After 4 turns[;] all enemies transform|into bears.,Remix screen,Remixed rule,
,Enemies will never roll a 1.,Enemies will never roll a 1.,Remix screen,Remixed rule,
,You will never roll a 6.,You will never roll a 6.,Remix screen,Remixed rule,
,Both you and your enemies do +[sword]1|extra damage with each attack.,Both you and your enemies do +[sword]1|extra damage with each attack.,Remix screen,Remixed rule,
,When you defeat an enemy[;] excessive|damage is reflected back at you.,When you defeat an enemy[;] excessive|damage is reflected back at you.,Remix screen,Remixed rule,
,Switch to [quote]Finders Keepers[quote] rules.,Switch to [quote]Finders Keepers[quote] rules.,Remix screen,Remixed rule,
,All equipment you find is upgraded.,All equipment you find is upgraded.,Remix screen,Remixed rule,
,All small equipment becomes big.,All small equipment becomes big.,Remix screen,Remixed rule,
,Start each fight with [poison]2 poison.,Start each fight with [poison]2 poison.,Remix screen,Remixed rule,
,No duplicates! Matching dice vanish|as soon as they are created.,No duplicates! Matching dice vanish|as soon as they are created.,Remix screen,Remixed rule,
,Using any piece of equipment will|reroll a random dice.,Using any piece of equipment will|reroll a random dice.,Remix screen,Remixed rule,
,At the start of each turn[;] replace one|of your items with a random item.,At the start of each turn[;] replace one|of your items with a random item.,Remix screen,Remixed rule,
,Shops can sell any item from the game.,Shops can sell any item from the game.,Remix screen,Remixed rule,
,Add two super enemies.,Add two super enemies.,Remix screen,Remixed rule,
,Cannot see enemy health after|the first turn.,Cannot see enemy health after|the first turn.,Remix screen,Remixed rule,
,If you or your enemy rolls a six[;] it|automatically catches on fire.,If you or your enemy rolls a six[;] it|automatically catches on fire.,Remix screen,Remixed rule,
,Both you and your enemies start each|fight with [recycle]Re-Equip_Next[].,Both you and your enemies start each|fight with [recycle]Re-Equip_Next[].,Remix screen,Remixed rule,
,Complete any 6 episodes.,Complete any 6 episodes.,Challenges,Challenge achievement,
,Complete any 9 episodes.,Complete any 9 episodes.,Challenges,Challenge achievement,
,Complete any 12 episodes.,Complete any 12 episodes.,Challenges,Challenge achievement,
,Complete any 15 episodes.,Complete any 15 episodes.,Challenges,Challenge achievement,
,Complete any 18 episodes.,Complete any 18 episodes.,Challenges,Challenge achievement,
,Complete all six episodes for|any one contestant.,Complete all six episodes for|any one contestant.,Challenges,Challenge achievement,
,Complete the episode named|[quote]Curse of Greed[quote].,Complete the episode named|[quote]Curse of Greed[quote].,Challenges,Challenge achievement,
,Complete the episode named|[quote]Finders Keepers[quote].,Complete the episode named|[quote]Finders Keepers[quote].,Challenges,Challenge achievement,
,Complete the episode named|[quote]You Choose[;] You Lose[quote].,Complete the episode named|[quote]You Choose[;] You Lose[quote].,Challenges,Challenge achievement,
,Complete the episode named|[quote]The Inevitability of Rust[quote].,Complete the episode named|[quote]The Inevitability of Rust[quote].,Challenges,Challenge achievement,
,Complete the episode named|[quote]Countdown[quote].,Complete the episode named|[quote]Countdown[quote].,Challenges,Challenge achievement,
,Complete the episode named|[quote]Losers[;] Weepers[quote].,Complete the episode named|[quote]Losers[;] Weepers[quote].,Challenges,Challenge achievement,
,Complete any elimination|round episode.,Complete any elimination|round episode.,Challenges,Challenge achievement,
,Complete any two elimination|round episodes.,Complete any two elimination|round episodes.,Challenges,Challenge achievement,
,Complete any three elimination|round episodes.,Complete any three elimination|round episodes.,Challenges,Challenge achievement,
,Complete any four elimination|round episodes.,Complete any four elimination|round episodes.,Challenges,Challenge achievement,
,Complete any five elimination|round episodes.,Complete any five elimination|round episodes.,Challenges,Challenge achievement,
,Complete all six elimination|round episodes.,Complete all six elimination|round episodes.,Challenges,Challenge achievement,
,Complete any parallel|universe episode.,Complete any parallel|universe episode.,Challenges,Challenge achievement,
,Complete any two parallel|universe episodes.,Complete any two parallel|universe episodes.,Challenges,Challenge achievement,
,Complete any three parallel|universe episodes.,Complete any three parallel|universe episodes.,Challenges,Challenge achievement,
,Complete any four parallel|universe episodes.,Complete any four parallel|universe episodes.,Challenges,Challenge achievement,
,Complete any five parallel|universe episodes.,Complete any five parallel|universe episodes.,Challenges,Challenge achievement,
,Complete all six parallel|universe episodes.,Complete all six parallel|universe episodes.,Challenges,Challenge achievement,
,Complete any bonus round|episode in hard mode.,Complete any bonus round|episode in hard mode.,Challenges,Challenge achievement,
,Complete any two bonus round|episodes in hard mode.,Complete any two bonus round|episodes in hard mode.,Challenges,Challenge achievement,
,Complete any three bonus round|episodes in hard mode.,Complete any three bonus round|episodes in hard mode.,Challenges,Challenge achievement,
,Complete any four bonus round|episodes in hard mode.,Complete any four bonus round|episodes in hard mode.,Challenges,Challenge achievement,
,Complete any five bonus round|episodes in hard mode.,Complete any five bonus round|episodes in hard mode.,Challenges,Challenge achievement,
,Complete all six bonus round|episodes in hard mode.,Complete all six bonus round|episodes in hard mode.,Challenges,Challenge achievement,
,Survive an attack from Cornelius.,Survive an attack from Cornelius.,Challenges,Challenge achievement,
,Defeat a boss with full health.,Defeat a boss with full health.,Challenges,Challenge achievement,
,Do more than 40 damage|in a single attack.,Do more than 40 damage|in a single attack.,Challenges,Challenge achievement,
,Defeat an enemy on your first turn.,Defeat an enemy on your first turn.,Challenges,Challenge achievement,
,Use your limit break twice|in one turn.,Use your limit break twice|in one turn.,Challenges,Challenge achievement,
,Do more than 20 damage in one|turn with Dagger.,Do more than 20 damage in one|turn with Dagger.,Challenges,Challenge achievement,
,Roll 10 ones in a row.,Roll 10 ones in a row.,Challenges,Challenge achievement,
,Defeat a boss at level 4.,Defeat a boss at level 4.,Challenges,Challenge achievement,
,Complete an episode with [gold]20 gold.,Complete an episode with [gold]20 gold.,Challenges,Challenge achievement,
,Complete an episode as Witch|with four prepared slots.,Complete an episode as Witch|with four prepared slots.,Challenges,Challenge achievement,
,Complete any two episodes|with this contestant.,Complete any two episodes|with this contestant.,Locked content,,
,Complete any three episodes|with this contestant.,Complete any three episodes|with this contestant.,Locked content,,
,Complete any four episodes|with this contestant.,Complete any four episodes|with this contestant.,Locked content,,
,[lock] To unlock EPISODES:,[lock] To unlock EPISODES:,Locked content,,
,Play a game with five contestants,Play a game with five contestants,Locked content,,
,[lock] To unlock this contestant:,[lock] To unlock this contestant:,Locked content,,
,Play a game as Thief,Play a game as Thief,Locked content,,
,Play a game with the first three contestants,Play a game with the first three contestants,Locked content,,
,Play a game with the first four contestants,Play a game with the first four contestants,Locked content,,
,[lock] To open this door:,[lock] To open this door:,Locked content,,
,Complete all 36 episodes.,Complete all 36 episodes.,Locked content,,
,[lock] Locked,[lock] Locked,Locked content,,
,Lady Luck Commands:,Lady Luck Commands:,Lady Luck Boss Fight,,
,The penalty for defying Lady Luck is:,The penalty for defying Lady Luck is:,Lady Luck Boss Fight,,
,Don't use odd dice!,Don't use odd dice!,Lady Luck Boss Fight,Lady Luck Commands,
,Don't use even dice!,Don't use even dice!,Lady Luck Boss Fight,Lady Luck Commands,
,Don't use 1s!,Don't use 1s!,Lady Luck Boss Fight,Lady Luck Commands,
,Don't use 2s!,Don't use 2s!,Lady Luck Boss Fight,Lady Luck Commands,
,Don't use 3s!,Don't use 3s!,Lady Luck Boss Fight,Lady Luck Commands,
,Don't use 4s!,Don't use 4s!,Lady Luck Boss Fight,Lady Luck Commands,
,Don't use 5s!,Don't use 5s!,Lady Luck Boss Fight,Lady Luck Commands,
,Don't use 6s!,Don't use 6s!,Lady Luck Boss Fight,Lady Luck Commands,
,Don't use 3s or lower!,Don't use 3s or lower!,Lady Luck Boss Fight,Lady Luck Commands,
,Don't use 4s or higher!,Don't use 4s or higher!,Lady Luck Boss Fight,Lady Luck Commands,
,Don't switch fighters!,Don't switch fighters!,Lady Luck Boss Fight,Lady Luck Commands,
,Don't look at my equipment!,Don't look at my equipment!,Lady Luck Boss Fight,Lady Luck Commands,
,Don't use equipment that has a [sword] symbol!,Don't use equipment that has a [sword] symbol!,Lady Luck Boss Fight,Lady Luck Commands,
,Don't use equipment that has a [fire] symbol!,Don't use equipment that has a [fire] symbol!,Lady Luck Boss Fight,Lady Luck Commands,
,Don't use equipment that has a [shock] symbol!,Don't use equipment that has a [shock] symbol!,Lady Luck Boss Fight,Lady Luck Commands,
,Don't use equipment that has a [ice] symbol!,Don't use equipment that has a [ice] symbol!,Lady Luck Boss Fight,Lady Luck Commands,
,Don't use equipment that has a [d6] symbol!,Don't use equipment that has a [d6] symbol!,Lady Luck Boss Fight,Lady Luck Commands,
,Don't reduce any countdowns!,Don't reduce any countdowns!,Lady Luck Boss Fight,Lady Luck Commands,
,Lose [heart]5 health,Lose [heart]5 health,Lady Luck Boss Fight,Lady Luck penalty for disobeying commands,
,Lose [heart]10 health,Lose [heart]10 health,Lady Luck Boss Fight,Lady Luck penalty for disobeying commands,
,Lose [heart]999 health,Lose [heart]999 health,Lady Luck Boss Fight,Lady Luck penalty for disobeying commands,
,Inflict [poison]5 poison,Inflict [poison]5 poison,Lady Luck Boss Fight,Lady Luck penalty for disobeying commands,
,Reduce health to [heart]1,Reduce health to [heart]1,Lady Luck Boss Fight,Lady Luck penalty for disobeying commands,
,End your turn immediately,End your turn immediately,Lady Luck Boss Fight,Lady Luck penalty for disobeying commands,
,Next turn[;] gain 99 [curse]Curses,Next turn[;] gain 99 [curse]Curses,Lady Luck Boss Fight,Lady Luck penalty for disobeying commands,
,Next turn[;] [fire]Burn all dice,Next turn[;] [fire]Burn all dice,Lady Luck Boss Fight,Lady Luck penalty for disobeying commands,
,Next turn[;] lock [lock]2 dice,Next turn[;] lock [lock]2 dice,Lady Luck Boss Fight,Lady Luck penalty for disobeying commands,
,Next turn[;] [blind]Blind all dice,Next turn[;] [blind]Blind all dice,Lady Luck Boss Fight,Lady Luck penalty for disobeying commands,
,Lady Luck gains [fury]Fury,Lady Luck gains [fury]Fury,Lady Luck Boss Fight,Lady Luck penalty for disobeying commands,
,Lady Luck heals [heart]10 health,Lady Luck heals [heart]10 health,Lady Luck Boss Fight,Lady Luck penalty for disobeying commands,
,The Warrior,The Warrior,Various places,Used in some special situations,
,The Thief,The Thief,Various places,Used in some special situations,
,The Robot,The Robot,Various places,Used in some special situations,
,The Inventor,The Inventor,Various places,Used in some special situations,
,The Witch,The Witch,Various places,Used in some special situations,
,The Jester,The Jester,Various places,Used in some special situations,
,Frozen_all,Frozen_all,Status Effect,All of your dice are frozen,
,Burn_all,Burn_all,Status Effect,All of your dice are burnt,
,Frozen_all?,Frozen_all?,Status Effect,All of your dice are frozen,
,Reduce all dice values by 1.,Reduce all dice values by 1.,Status Effect,Tooltip for Frozen All?,
,Burn_all?,Burn_all?,Status Effect,All of your dice are burnt,
,Lose [heart]<value> health at the start of turn. Pierces shields.,Lose [heart]<value> health at the start of turn. Pierces shields.,Status Effect,Tooltip for Poison split into two,
,Reduced by 1 on each turn.,Reduced by 1 on each turn.,Status Effect,Tooltip for Poison split into two,
,Extra_Turn,Extra_Turn,Status Effect,Take an extra turn next turn,
,Luck,Luck,Status Effect,Affects chance based items,
,Items that depend on luck have a higher chance to succeed.,Items that depend on luck have a higher chance to succeed.,Status Effect,Tooltip for Luck,
,Luck+,Luck+,Status Effect,Affects chance based items,
,Items that depend on luck work 100% of the time.,Items that depend on luck work 100% of the time.,Status Effect,Tooltip for Luck+,
,CPU_Protect,CPU_Protect,Status Effect,Special status for Robot,
,If you exceed the CPU target[;] reduce CPU by the excess.,If you exceed the CPU target[;] reduce CPU by the excess.,Status Effect,Tooltip for CPU Protect,
,When you use equipment[;] increase CPU by <value>.,When you use equipment[;] increase CPU by <value>.,Status Effect,Tooltip for CPU Virus,
,Safe_Bet,Safe_Bet,Status Effect,Special status for Robot,
,The next roll won't exceed the CPU target.,The next roll won't exceed the CPU target.,Status Effect,Tooltip for Safe Bet,
,Mana,Mana,Status Effect,Parallel Universe Witch concept – stored and used for special cards,
,Mana is used to grant bonus powers on certain cards.|Disappears at the end of the fight.,Mana is used to grant bonus powers on certain cards.|Disappears at the end of the fight.,Status Effect,Tooltip for Mana,
,Double_Cast,Double_Cast,Status Effect,Parallel Universe Witch concept,
,Place two copies of the next spell you cast.,Place two copies of the next spell you cast.,Status Effect,Tooltip for Double Cast,
,Vanish,Vanish,Status Effect,Makes dupilated dice disappear – if you have two fives one of the fives will vanish immediately,
,Duplicate dice are immediately destroyed.,Duplicate dice are immediately destroyed.,Status Effect,Tooltip for Vanish,
,Block the next status effect.,Block the next status effect.,Status Effect,Tooltip for Parallel Universe Re-Equip Next,
,Restore [heal]<value> health with each attack this turn.|([heal]1 for each [thorns] thorn.),Restore [heal]<value> health with each attack this turn.|([heal]1 for each [thorns] thorn.),Status Effect,New Tooltip for Parallel Universe mode Thorns,
,Locked dice need to be used in the order they are rolled[;]|before you can use any other dice.,Locked dice need to be used in the order they are rolled[;]|before you can use any other dice.,Status Effect,New Tooltip for Parallel Universe mode Lock,
,Counter_1?,Counter_1?,Status Effect,You can ignore the _ character here when translating – same as above but with a question mark,
,Counter_2?,Counter_2?,Status Effect,You can ignore the _ character here when translating – same as above but with a question mark,
,Counter_3?,Counter_3?,Status Effect,You can ignore the _ character here when translating – same as above but with a question mark,
,Counter_4?,Counter_4?,Status Effect,You can ignore the _ character here when translating – same as above but with a question mark,
,Counter_5?,Counter_5?,Status Effect,You can ignore the _ character here when translating – same as above but with a question mark,
,Counter_6?,Counter_6?,Status Effect,You can ignore the _ character here when translating – same as above but with a question mark,
,Wins: {victorycount}[;] Losses: {losscount},Wins: {victorycount}[;] Losses: {losscount},Episode Selection,Tooltip for wins/losses if loss showing is enabled,
,Backstage,Backstage,Map Screen,Name of the finale episode in the bottom left hand corner,
,Again! Again! You are overcome with [yellow]inspiration[]!,Again! Again! You are overcome with [yellow]inspiration[]!,Inventor battle victory,In double rubble you are required to scrap two items instead of one,
,You scrapped {item}!,You scrapped {item}!,Inventor battle victory,,
,Something else[;],Something else[;],Inventor battle victory,In parallel universe you can choose to scrap a random item,
,chosen at random,chosen at random,Inventor battle victory,In parallel universe you can choose to scrap a random item,
,Jinx,Jinx,Status Effect,Parallel Universe status effect for Jester,
,Super {enemyname},Super {enemyname},Super enemies,Some enemies are shown as super versions with more attack power,
,Full health!,Full health!,Map Screen,If you try to collect an apple when you have full health,
,Upgrade Equipment,Upgrade Equipment,Shop,displayed in shops when upgrades can be purchased,
,Complete this episode|to unlock hard mode,Complete this episode|to unlock hard mode,Equipment Selection,shown in bonus round above certain equipment choices,
