Changed?;Location;String;String_uk;
;Lady Luck end of episode to Jester;Back for another spin?||Of course! Let's see if you win!||Literally anything is possible, and it's not like|anybody involved here has absolute power|over fate and fortune!#Oh wait, no, I absolutely do.||Isn't that nice!;Back for another spin?||Of course! Let's see if you win!||Literally anything is possible, and it's not like|anybody involved here has absolute power|over fate and fortune!#Oh wait, no, I absolutely do.||Isn't that nice!;
;Lady Luck end of episode post endgame;You win!||Of course, we don't spin the wheel any more.||But feel free to spin around on the|spot if you'd like.;You win!||Of course, we don't spin the wheel any more.||But feel free to spin around on the|spot if you'd like.;
;Lady Luck end of episode post endgame;Congratulations!||You know, are you ABSOLUTELY SURE|you don't want to be a minion?||I mean, you DO seem to like it here...||No? All right, then!;Congratulations!||You know, are you ABSOLUTELY SURE|you don't want to be a minion?||I mean, you DO seem to like it here...||No? All right, then!;
;Lady Luck end of episode post endgame;Another triumph!||Sometimes I wonder if I made it|too easy for you...;Another triumph!||Sometimes I wonder if I made it|too easy for you...;
;Lady Luck end of episode post endgame;Magnificent!||Shall we spin the wheel just this once,|for old time's sake?#What was it we used to say?||Ah yes! 'Bad luck there - but maybe|next episode!'.||Ah, good times!;Magnificent!||Shall we spin the wheel just this once,|for old time's sake?#What was it we used to say?||Ah yes! 'Bad luck there - but maybe|next episode!'.||Ah, good times!;
;Lady Luck end of episode post endgame;A beautiful battle right at the end there - you|always were one of the most elegant fighters|in your little group!||Three cheers and hip hip hooray!;A beautiful battle right at the end there - you|always were one of the most elegant fighters|in your little group!||Three cheers and hip hip hooray!;
;Lady Luck end of episode post endgame;Oh, well done! Another victory!||Now tell me, how's everything in the|outside world?||How's work? What's the weather like?||Are we ever going to hear the pitter|patter of tiny dice?;Oh, well done! Another victory!||Now tell me, how's everything in the|outside world?||How's work? What's the weather like?||Are we ever going to hear the pitter|patter of tiny dice?;
;Lady Luck end of episode post endgame;Ah, lovely, a couple of wonderful close|calls in there, my dear.||I'll admit I was lying when I said|you were my favourite...||...but you're at least my SECOND favourite.;Ah, lovely, a couple of wonderful close|calls in there, my dear.||I'll admit I was lying when I said|you were my favourite...||...but you're at least my SECOND favourite.;
;Lady Luck end of episode post endgame;Congratulations! Another win!||Now, do send my best wishes to|the rest of the group...||...and tell them that we're always here if|they want to come back to fight!||Or, y'know, just to pick up a couple of shifts as|minions if they need some extra cash...;Congratulations! Another win!||Now, do send my best wishes to|the rest of the group...||...and tell them that we're always here if|they want to come back to fight!||Or, y'know, just to pick up a couple of shifts as|minions if they need some extra cash...;
;Lady Luck end of episode post endgame;Well done!||And can I just say: it's so nice to see you|and the minions hanging out like this.||Maybe one day we should have a big reunion|picnic, get all you dice down here at once.||I promise I won't trap you|for eternity again...;Well done!||And can I just say: it's so nice to see you|and the minions hanging out like this.||Maybe one day we should have a big reunion|picnic, get all you dice down here at once.||I promise I won't trap you|for eternity again...;
;Lady Luck end of episode post endgame;Amazing! VERY clever work, there!||Perhaps you could come in and give a guest|lecture to the younger minions some time?;Amazing! VERY clever work, there!||Perhaps you could come in and give a guest|lecture to the younger minions some time?;
;Lady Luck end of episode post endgame;SUCH a delight of a fight!||I'll always keep your room ready for|you, you know.||And by 'room' I mean 'six-floor|fighting dungeon'.;SUCH a delight of a fight!||I'll always keep your room ready for|you, you know.||And by 'room' I mean 'six-floor|fighting dungeon'.;
;Lady Luck end of episode post endgame;Ah, I'm beaming with pride again!||I really feel like the quality of your fighting|vindicates my decision to turn you into a|dice and try to trap you here for eternity.||Congratulations!;Ah, I'm beaming with pride again!||I really feel like the quality of your fighting|vindicates my decision to turn you into a|dice and try to trap you here for eternity.||Congratulations!;
;Warrior win episode – Jester;Congratulations!;Congratulations!;
;Warrior win episode – Jester;Your very first victory!;Your very first victory!;
;Warrior win episode – Warrior;Am I super strong now?;Am I super strong now?;
;Warrior win episode – Jester;You'll ALWAYS be super strong to me.;You'll ALWAYS be super strong to me.;
;Warrior win episode – Jester;But also... no, sorry.;But also... no, sorry.;
;Warrior win episode – Jester;How it works is, every time you win|an episode, you get the chance to...;How it works is, every time you win|an episode, you get the chance to...;
;Warrior win episode – Jester;SPIN... THE... WHEEL!;SPIN... THE... WHEEL!;
;Warrior win episode – Jester;And if the wheel ends up on a star?;And if the wheel ends up on a star?;
;Warrior win episode – Jester;You get to leave the Dungeons and|take home your heart's desire!;You get to leave the Dungeons and|take home your heart's desire!;
;Warrior win episode – Jester;Get ready to...;Get ready to...;
;Warrior win episode – Jester;SPIN THE WHEEL!;SPIN THE WHEEL!;
;Warrior win episode – Jester;You're not chanting...;You're not chanting...;
;Warrior win episode – Warrior;Oh, sorry! SPIN THE WHEEL!;Oh, sorry! SPIN THE WHEEL!;
;Warrior win episode – Jester;Here we go...;Here we go...;
;Warrior win episode – Jester;Ahhhh, bad luck! No prize this time.;Ahhhh, bad luck! No prize this time.;
;Warrior win episode – Jester;But never mind, there are plenty|of episodes to come!;But never mind, there are plenty|of episodes to come!;
;Warrior win episode – Warrior;SPIN THE WHEEL! SPIN THE WHEEL!;SPIN THE WHEEL! SPIN THE WHEEL!;
;Warrior win episode – Jester;...you can stop chanting now.;...you can stop chanting now.;
;Thief win episode – Jester;What a sneaky, underhanded victory. Magnificent!;What a sneaky, underhanded victory. Magnificent!;
;Thief win episode – Thief;I'm not here for compliments. I'm here for prizes.;I'm not here for compliments. I'm here for prizes.;
;Thief win episode – Jester;Of COURSE you are.;Of COURSE you are.;
;Thief win episode – Jester;And that means it's time to...;And that means it's time to...;
;Thief win episode – Jester;SPIN THE WHEEL!|SPIN THE WHEEL!;SPIN THE WHEEL!|SPIN THE WHEEL!;
;Thief win episode – Jester;If you land on a prize spot, you'll get your|billion and a quick pathway out of th...;If you land on a prize spot, you'll get your|billion and a quick pathway out of th...;
;Thief win episode – Thief;Got it. Spin.;Got it. Spin.;
;Thief win episode – Jester;Wanna do a drum roll to build anticipation?;Wanna do a drum roll to build anticipation?;
;Thief win episode – Thief;Just spin it!;Just spin it!;
;Thief win episode – Jester;...oh, BAD luck! Looks like you|missed out this time.;...oh, BAD luck! Looks like you|missed out this time.;
;Thief win episode – Jester;But don't lose hope - your time|in the Dungeons isn't up yet!;But don't lose hope - your time|in the Dungeons isn't up yet!;
;Thief win episode – Jester;We'll be back soon with|more episodes!;We'll be back soon with|more episodes!;
;Robot win episode – Jester;What a wonderful batch of contestants you all are!;What a wonderful batch of contestants you all are!;
;Robot win episode – Jester;And what a beautiful victory!;And what a beautiful victory!;
;Robot win episode – Robot;Thank you! I worked very hard!;Thank you! I worked very hard!;
;Robot win episode – Jester;I can tell!;I can tell!;
;Robot win episode – Jester;Now, fingers crossed as we SPIN THE WHEEL.;Now, fingers crossed as we SPIN THE WHEEL.;
;Robot win episode – Jester;Depending on how it lands, you'll either walk away|with a prize, or we'll invite you back to join us for|another episode!;Depending on how it lands, you'll either walk away|with a prize, or we'll invite you back to join us for|another episode!;
;Robot win episode – Jester;Actually I'm going to uncross my fingers|if that's okay with you?;Actually I'm going to uncross my fingers|if that's okay with you?;
;Robot win episode – Jester;The wheel's really heavy and I|need to get a good grip...;The wheel's really heavy and I|need to get a good grip...;
;Robot win episode – Robot;That's okay, I've got ALL my fingers and toes crossed.;That's okay, I've got ALL my fingers and toes crossed.;
;Robot win episode – Robot;I know it doesn't change the outcome of the|spin, but it helps me stay calm!;I know it doesn't change the outcome of the|spin, but it helps me stay calm!;
;Robot win episode – Jester;Well, take a deep breath while the|WHEEL SPINS aaaaaand...;Well, take a deep breath while the|WHEEL SPINS aaaaaand...;
;Robot win episode – Jester;...I'm so sorry!;...I'm so sorry!;
;Robot win episode – Jester;It looks like you don't win a life without|sleep - at least, not just yet.;It looks like you don't win a life without|sleep - at least, not just yet.;
;Robot win episode – Jester;But you DO take home a secret bonus prize:;But you DO take home a secret bonus prize:;
;Robot win episode – Jester;An expired 50% off voucher for your|local pizza restaurant!;An expired 50% off voucher for your|local pizza restaurant!;
;Robot win episode – Jester;And of course, you'll get the chance to return|to the Dungeons in another episode...;And of course, you'll get the chance to return|to the Dungeons in another episode...;
;Inventor win episode – Jester;You're doing so well! Congratulations!;You're doing so well! Congratulations!;
;Inventor win episode – Jester;Welcome to the VICTORY STAGE!;Welcome to the VICTORY STAGE!;
;Inventor win episode – Jester;We're going to SPIN THE WHEEL to see whether|you've won yourself a nice little prize -;We're going to SPIN THE WHEEL to see whether|you've won yourself a nice little prize -;
;Inventor win episode – Jester;- what was it you were after again?;- what was it you were after again?;
;Inventor win episode – Inventor;I want to have complete understanding of everything in the universe!;I want to have complete understanding of everything in the universe!;
;Inventor win episode – Jester;Ah, don't we all?;Ah, don't we all?;
;Inventor win episode – Jester;Right, let's SPIN THE WHEEL and see...;Right, let's SPIN THE WHEEL and see...;
;Inventor win episode – Jester;...nope, it looks like you're|out of luck this time.;...nope, it looks like you're|out of luck this time.;
;Inventor win episode – Jester;But maybe next episode!;But maybe next episode!;
;Inventor win episode – Inventor;...can you at least tell me how the wheel works? It's so cool!;...can you at least tell me how the wheel works? It's so cool!;
;Inventor win episode – Jester;Hahaha no I definitely can't!;Hahaha no I definitely can't!;
;Inventor win episode – Jester;CUT. Did anyone hear me? I|said CUT. Stop filming!;CUT. Did anyone hear me? I|said CUT. Stop filming!;
;Witch win episode – Jester;What a fight! You were amazing!;What a fight! You were amazing!;
;Witch win episode – witch;Honestly, I just lost myself in the moment.;Honestly, I just lost myself in the moment.;
;Witch win episode – witch;I forgot I was even on camera - it was all about the|spells and the dice. What a wonderful experience!;I forgot I was even on camera - it was all about the|spells and the dice. What a wonderful experience!;
;Witch win episode – Jester;Shall we find out whether|you've won a prize?;Shall we find out whether|you've won a prize?;
;Witch win episode – witch;I mean it's not really about the prize, is it?;I mean it's not really about the prize, is it?;
;Witch win episode – witch;But also, yes.;But also, yes.;
;Witch win episode – Jester;Time to SPIN THE WHEEL!|SPIN THE WHEEL!;Time to SPIN THE WHEEL!|SPIN THE WHEEL!;
;Witch win episode – Jester;If it lands on the PRIZE, then|you get your heart's desire!;If it lands on the PRIZE, then|you get your heart's desire!;
;Witch win episode – Jester;More social media followers, I think?;More social media followers, I think?;
;Witch win episode – witch;That's right! SPIN THE WHEEL! SPIN THE WHEEL!;That's right! SPIN THE WHEEL! SPIN THE WHEEL!;
;Witch win episode – Jester;And ohhhh... bad luck - it|looks like that's a no!;And ohhhh... bad luck - it|looks like that's a no!;
;Witch win episode – Jester;But don't you worry - you've made it through to|the next episode, and another chance to win.;But don't you worry - you've made it through to|the next episode, and another chance to win.;
;Jester win episode – Lady Luck;Ah, my little betrayer of trust! It's you!;Ah, my little betrayer of trust! It's you!;
;Jester win episode – Jester;Yep, it's me!;Yep, it's me!;
;Jester win episode – Lady Luck;How does it feel to be on the other|side of the wheel?;How does it feel to be on the other|side of the wheel?;
;Jester win episode – Jester;Pretty good, actually!;Pretty good, actually!;
;Jester win episode – Lady Luck;...really?;...really?;
;Jester win episode – Lady Luck;After all these hundreds of years of|spinning the wheel...;After all these hundreds of years of|spinning the wheel...;
;Jester win episode – Lady Luck;...even you must realise it's not|going to land on a prize.;...even you must realise it's not|going to land on a prize.;
;Jester win episode – Jester;I mean, that's not ideal, but you know what?;I mean, that's not ideal, but you know what?;
;Jester win episode – Jester;Better to be cheated than to be a cheat!;Better to be cheated than to be a cheat!;
;Jester win episode – Lady Luck;...well, let's go through the motions.;...well, let's go through the motions.;
;Jester win episode – Lady Luck;Will you have a look at that! You lose.;Will you have a look at that! You lose.;
;Jester win episode – Jester;Guess I'll just have to go and fight in another episode, then.;Guess I'll just have to go and fight in another episode, then.;
;Jester win episode – Jester;At least I know I'm on the right side now!;At least I know I'm on the right side now!;
;Jester win episode – Lady Luck;See you soon, minion.;See you soon, minion.;
;Jester win episode – Lady Luck;And for eternity.;And for eternity.;
;Jester joins the team – Winning dice;... uhhh;... uhhh;
;Jester joins the team – Winning dice;So, who's going to spin the wheel now?;So, who's going to spin the wheel now?;
;Jester joins the team – Jester;No idea!;No idea!;
;Jester joins the team – Jester;Not my problem anymore!;Not my problem anymore!;
;Jester joins the team – Jester;C'mon, let's get out of here!;C'mon, let's get out of here!;
;Baby Squid Guest Star 1;...Hey! It's you! Hey, it's so|good to see you!;...Hey! It's you! Hey, it's so|good to see you!;
;Baby Squid Guest Star 1;Um, I'm just filling in here but I'm meant to|tell you that I'm going to spin the wheel...;Um, I'm just filling in here but I'm meant to|tell you that I'm going to spin the wheel...;
;Baby Squid Guest Star 1;...and then when you lose I'm meant to say|[quote]better luck next time[quote], I think?;...and then when you lose I'm meant to say|[quote]better luck next time[quote], I think?;
;Baby Squid Guest Star 1;Okay! Yes! Here we go!;Okay! Yes! Here we go!;
;Baby Squid Guest Star 1;Better luck next time!;Better luck next time!;
;Baby Squid Guest Star 2;Aaaah! Hello again!|That was great!;Aaaah! Hello again!|That was great!;
;Baby Squid Guest Star 2;Anyway I got it wrong last time and I'm|meant to tell you to spin the wheel...;Anyway I got it wrong last time and I'm|meant to tell you to spin the wheel...;
;Baby Squid Guest Star 2;...and also tell you that it's DEFINITELY possible|that you might win and it's not rigged at all!;...and also tell you that it's DEFINITELY possible|that you might win and it's not rigged at all!;
;Baby Squid Guest Star 2;Okay now I'm meant to say:;Okay now I'm meant to say:;
;Baby Squid Guest Star 2;[quote]I'm so sorry, not this time, but we're excited|to see you soon for more Dicey Dungeons.[quote];[quote]I'm so sorry, not this time, but we're excited|to see you soon for more Dicey Dungeons.[quote];
;Baby Squid Guest Star 2;Oh wow, that's even true! I AM excited|to see you soon!;Oh wow, that's even true! I AM excited|to see you soon!;
;Baby Squid Guest Star 3;Hi! Hi! It's me again!;Hi! Hi! It's me again!;
;Baby Squid Guest Star 3;I'm on my second warning here so|let's make sure I get this right...;I'm on my second warning here so|let's make sure I get this right...;
;Baby Squid Guest Star 3;I'm meant to say [quote]SPIN THE WHEEL|TO SEE IF YOU WIN...;I'm meant to say [quote]SPIN THE WHEEL|TO SEE IF YOU WIN...;
;Baby Squid Guest Star 3;...and don't say anything about it being rigged...;...and don't say anything about it being rigged...;
;Baby Squid Guest Star 3;...and don't read that last bit out loud[quote].;...and don't read that last bit out loud[quote].;
;Baby Squid Guest Star 3;Does that sound right? I hope so!;Does that sound right? I hope so!;
;Baby Squid Guest Star 3;I love being able to see you whenever|you win an episode!;I love being able to see you whenever|you win an episode!;
;Baby Squid Guest Star 3;Okay now I'm meant to say [quote]you lose|but sound sympathetic[quote]. Right!;Okay now I'm meant to say [quote]you lose|but sound sympathetic[quote]. Right!;
;Baby Squid Guest Star 4;Okay, okay, I've got one more chance so|I'm going to be SO careful here.;Okay, okay, I've got one more chance so|I'm going to be SO careful here.;
;Baby Squid Guest Star 4;THE WHEEL IS SPINNING. HAVE YOU WON?;THE WHEEL IS SPINNING. HAVE YOU WON?;
;Baby Squid Guest Star 4;... YOU HAVEN'T WON.;... YOU HAVEN'T WON.;
;Baby Squid Guest Star 4;There! Do you think I did okay?;There! Do you think I did okay?;
;Baby Squid Guest Star 4;Oh, whoops! Forgot to press the button!;Oh, whoops! Forgot to press the button!;
;Baby Squid Guest Star 4;You know, I think I'm getting|the hang of this!;You know, I think I'm getting|the hang of this!;
;Lady Luck takes over end of episodes;I suppose I'm just going to have to|do this myself. Ridiculous.;I suppose I'm just going to have to|do this myself. Ridiculous.;
;Lady Luck takes over end of episodes;You know the drill: well done blah blah|blah, I've spun the wheel...;You know the drill: well done blah blah|blah, I've spun the wheel...;
;Lady Luck takes over end of episodes;...but OH LOOK.;...but OH LOOK.;
;Lady Luck takes over end of episodes;It seems like you don't win your|heart's desire this time.;It seems like you don't win your|heart's desire this time.;
;Lady Luck takes over end of episodes;What a shock.;What a shock.;
;Ending intro – Lady Luck;Well, hello, my doomed little dicelings!;Well, hello, my doomed little dicelings!;
;Ending intro – Jester;Oh no...;Oh no...;
;Ending intro – Lady Luck;Oh yes! Now, what are you doing backstage?;Oh yes! Now, what are you doing backstage?;
;Ending intro – Lady Luck;Ready to give up on your dreams and|go into minion training?;Ready to give up on your dreams and|go into minion training?;
;Ending intro – Warrior;We're leaving! And you|can't stop us.;We're leaving! And you|can't stop us.;
;Ending intro – Jester;She totally can, sorry.;She totally can, sorry.;
;Ending intro – Lady Luck;...Yeah, I definitely can.;...Yeah, I definitely can.;
;Ending intro – Lady Luck;Or haven't you been paying attention?;Or haven't you been paying attention?;
;Ending intro – Inventor;We've been paying a|LOT of attention.;We've been paying a|LOT of attention.;
;Ending intro – Inventor;We've fought through|your dungeons.;We've fought through|your dungeons.;
;Ending intro – Inventor;We've beaten your bosses.;We've beaten your bosses.;
;Ending intro – Inventor;We've won EVERY SINGLE EPISODE!;We've won EVERY SINGLE EPISODE!;
;Ending intro – Inventor;And yet we're still trapped down here thanks|to your rigged WHEEL OF LIES!;And yet we're still trapped down here thanks|to your rigged WHEEL OF LIES!;
;Ending intro – Inventor;You're a cheat and this game ISN'T FAIR|so we're going home!;You're a cheat and this game ISN'T FAIR|so we're going home!;
;Ending intro – Lady Luck;MINIONS! THE DOORS! ENTER LOCKDOWN!;MINIONS! THE DOORS! ENTER LOCKDOWN!;
;Ending intro – Jester;Once the doors are locked, that's it, we're|stuck backstage until we give up.;Once the doors are locked, that's it, we're|stuck backstage until we give up.;
;Ending intro – Jester;I'm really sorry, friends. But|at least we tried.;I'm really sorry, friends. But|at least we tried.;
;Ending intro – Witch;No! I'm not giving up!;No! I'm not giving up!;
;Ending intro – Witch;And I'm not going to stay|BACKSTAGE for ever!;And I'm not going to stay|BACKSTAGE for ever!;
;Ending intro – Witch;Quick, can anyone make it through|the last door before it closes?;Quick, can anyone make it through|the last door before it closes?;
;The ending – Witch;You found us!;You found us!;
;The ending – Inventor;You did it! And you brought the minions!;You did it! And you brought the minions!;
;The ending – Robot;You didn't give up! I'm|so happy to see you!;You didn't give up! I'm|so happy to see you!;
;The ending – Player character;Wait, confetti? What's happening?;Wait, confetti? What's happening?;
;The ending – Player character;Why are those lights flashing?;Why are those lights flashing?;
;The ending – Lady Luck;Because you won, you big silly billy!;Because you won, you big silly billy!;
;The ending – Lady Luck;You refused to abandon your friends and you put aside your|differences with the minions and you gave up your worldly|desires and you beat me!;You refused to abandon your friends and you put aside your|differences with the minions and you gave up your worldly|desires and you beat me!;
;The ending – Thief;...and you're... you're not angry?;...and you're... you're not angry?;
;The ending – Lady Luck;Oh my dear, no, of course not!;Oh my dear, no, of course not!;
;The ending – Lady Luck;You've done BRILLIANTLY.;You've done BRILLIANTLY.;
;The ending – Lady Luck;Gosh, when was the last time we had a real live victory?;Gosh, when was the last time we had a real live victory?;
;The ending – Lady Luck;Jester darling, can you fetch the records?;Jester darling, can you fetch the records?;
;The ending – Jester;No! I'm not your minion any more! And we|don't have any records anyway!;No! I'm not your minion any more! And we|don't have any records anyway!;
;The ending – Lady Luck;Oh, hmmm, are you sure?;Oh, hmmm, are you sure?;
;The ending – Lady Luck;Tiny pink octopus! Go and see if you can find any records!;Tiny pink octopus! Go and see if you can find any records!;
;The ending – Lady Luck;I've been waiting SO long for someone to actually|win this game, you wouldn't BELIEVE.;I've been waiting SO long for someone to actually|win this game, you wouldn't BELIEVE.;
;The ending – Jester;I feel like it would have happened sooner if you hadn't|MADE THE GAME SO HARD and DIDN'T CHEAT!;I feel like it would have happened sooner if you hadn't|MADE THE GAME SO HARD and DIDN'T CHEAT!;
;The ending – Lady Luck;But then what would have happened to your|journey of self-realisation?;But then what would have happened to your|journey of self-realisation?;
;The ending – Lady Luck;Now, everyone pose for a photo...;Now, everyone pose for a photo...;
;The ending – Lady Luck;...beaaaauuutiful.;...beaaaauuutiful.;
;The ending – Lady Luck;SUCH a magnificent little bundle of fighters.;SUCH a magnificent little bundle of fighters.;
;The ending – Lady Luck;Come on, one more, I want something to remember|you by when you're gone!;Come on, one more, I want something to remember|you by when you're gone!;
;The ending – Player character;When we're gone... So... we're free to go? All of us?;When we're gone... So... we're free to go? All of us?;
;The ending – Lady Luck;Of course!;Of course!;
;The ending – Warrior;...but I don't get to be super strong?;...but I don't get to be super strong?;
;The ending – Lady Luck;No.;No.;
;The ending – Witch;And I don't get my followers?;And I don't get my followers?;
;The ending – Lady Luck;No. Your prize is self-knowledge, darling, I|thought we'd covered that.;No. Your prize is self-knowledge, darling, I|thought we'd covered that.;
;The ending – Witch;ALSO, I can't help but notice that|I'm still a giant walking dice?;ALSO, I can't help but notice that|I'm still a giant walking dice?;
;The ending – Lady Luck;Yes? And? Is there some sort of problem?;Yes? And? Is there some sort of problem?;
;The ending – Lady Luck;Now, one more big smile! Say cheese!;Now, one more big smile! Say cheese!;
;The ending – Robot;Okay. Look.;Okay. Look.;
;The ending – Robot;I can deal with having to sleep.;I can deal with having to sleep.;
;The ending – Robot;And I've kinda gotten used to the dice thing.;And I've kinda gotten used to the dice thing.;
;The ending – Robot;But what about the minions? Are they free to go as well?;But what about the minions? Are they free to go as well?;
;The ending – Inventor;Yeah, we would never have made it out without them.;Yeah, we would never have made it out without them.;
;The ending – Lady Luck;Honestly my loves, they're all very settled here.;Honestly my loves, they're all very settled here.;
;The ending – Lady Luck;They might grumble a little, but they have families and|vegetable gardens and everything.;They might grumble a little, but they have families and|vegetable gardens and everything.;
;The ending – Warrior;That's not the point! They fought with us!;That's not the point! They fought with us!;
;The ending – Warrior;And they won!;And they won!;
;The ending – Lady Luck;...ah, I suppose you're right. They were VERY brave.;...ah, I suppose you're right. They were VERY brave.;
;The ending – Lady Luck;I'll tell you what, they can leave if they really want to.;I'll tell you what, they can leave if they really want to.;
;The ending – Lady Luck;And if they don't then I'll see if that|employee suggestion box opens.;And if they don't then I'll see if that|employee suggestion box opens.;
;The ending – Lady Luck;I miiiiight increase everyone's holiday leave...;I miiiiight increase everyone's holiday leave...;
;The ending – Jester;WHAT holiday leave?;WHAT holiday leave?;
;The ending – Lady Luck;From nothing, my dear. I'll increase it from nothing!;From nothing, my dear. I'll increase it from nothing!;
;The ending – Lady Luck;My goodness, can't you just enjoy your confetti?;My goodness, can't you just enjoy your confetti?;
;The ending – Jester;...okay. I guess it's pretty good confetti.;...okay. I guess it's pretty good confetti.;
;The ending – Lady Luck;Let's all give one LAST BIG SMILE and think about the lessons|we've learned as we've fought so valiantly in these dungeons.;Let's all give one LAST BIG SMILE and think about the lessons|we've learned as we've fought so valiantly in these dungeons.;
;The ending – Lady Luck;In some cases we fought side by side, and maybe in other cases|we fought in vicious opposition, but the important thing is...;In some cases we fought side by side, and maybe in other cases|we fought in vicious opposition, but the important thing is...;
;The ending – Lady Luck;...that we did it together.;...that we did it together.;
;The ending – Lady Luck;Ah, my precious little dice-keteers!;Ah, my precious little dice-keteers!;
;The ending – Lady Luck;My real live winners!;My real live winners!;
;The ending – Lady Luck;It's been SUCH a delight having you here.;It's been SUCH a delight having you here.;
;The ending – Lady Luck;Please, PLEASE, do drop by any time.;Please, PLEASE, do drop by any time.;
;The ending – Lady Luck;I absolutely promise I'll let you leave again.;I absolutely promise I'll let you leave again.;
;The ending – Lady Luck;Now, did we ever make any end credits?;Now, did we ever make any end credits?;
;Split line into smaller parts;Wait, confetti?;Wait, confetti?;
;Split line into smaller parts;What's happening?;What's happening?;
;Split line into smaller parts;You refused to abandon your friends!;You refused to abandon your friends!;
;Split line into smaller parts;You put aside your differences with the minions!;You put aside your differences with the minions!;
;Split line into smaller parts;... and you gave up your worldly desires and beat me!;... and you gave up your worldly desires and beat me!;
;The ending – Jester;No! I'm not your minion any more!;No! I'm not your minion any more!;
;The ending – Jester;And we don't have any records anyway!;And we don't have any records anyway!;
;Bear win episode – Jester;What a victory!;What a victory!;
;Bear win episode – Jester;And may I say, you're looking|extremely dapper there.;And may I say, you're looking|extremely dapper there.;
;Bear win episode – Jester;Now, shall I spin the wheel?;Now, shall I spin the wheel?;
;Bear win episode – Jester;Ah, bad luck!;Ah, bad luck!;
;Bear win episode – Jester;Now, let's get you through into the costume department|and have someone pluck all those hairs out.;Now, let's get you through into the costume department|and have someone pluck all those hairs out.;
;Bear win episode – Lady Luck;I see it's time yet again to SPIN THE|WHEEL, or as you might say...;I see it's time yet again to SPIN THE|WHEEL, or as you might say...;
;Bear win episode – Lady Luck;...RRRRAWWRR RAWR RRRAWR.;...RRRRAWWRR RAWR RRRAWR.;
;Bear win episode – Lady Luck;Ah, BAD luck, you miss out on|a prize yet again.;Ah, BAD luck, you miss out on|a prize yet again.;
;Bear win episode – Lady Luck;But then, what would the heart's|desire of a bear even look like?;But then, what would the heart's|desire of a bear even look like?;
;Bear win episode – Lady Luck;Maybe it's for the best that|we'll never find out.;Maybe it's for the best that|we'll never find out.;
;blacksmith;Welcome back! It's so great to see how hard|you're fighting! Lemme see what I've got in|the back, I must be able to help...;Welcome back! It's so great to see how hard|you're fighting! Lemme see what I've got in|the back, I must be able to help...;
;Revision to Warrior Ending 1;...well, no.;...well, no.;
;Revision to Warrior Ending 1;But look, you're off to a great start!|You've beaten a whole episode!;But look, you're off to a great start!|You've beaten a whole episode!;
;Revision to Warrior Ending 1;Just 35 increasingly difficult episodes to go!;Just 35 increasingly difficult episodes to go!;
;Revision to Warrior Ending 1;Wait, what? 35?;Wait, what? 35?;
;Revision to Warrior Ending 1;Increasingly difficult?;Increasingly difficult?;
;Revision to Warrior Ending 1;And of course, every time you beat an|episode you get the chance to...;And of course, every time you beat an|episode you get the chance to...;
;Tutorial - Gamepad additions;Use the [yellow]Left Stick[] to|walk to the chest!;Use the [yellow]Left Stick[] to|walk to the chest!;
;Tutorial - Gamepad additions;Press [a_button] to select|your [yellow]Sword[].;Press [a_button] to select|your [yellow]Sword[].;
;Tutorial - Gamepad additions;Press [a_button] again to|select your dice.;Press [a_button] again to|select your dice.;
;Tutorial - Gamepad additions;Press [x_button] to [yellow]End Turn[]|when you're ready.;Press [x_button] to [yellow]End Turn[]|when you're ready.;
;Tutorial - Gamepad additions;Press [r_button] to use [Yellow]Fury[]!;Press [r_button] to use [Yellow]Fury[]!;
;Tutorial - Gamepad additions;Use the [yellow]Left Stick[] to select [yellow]Combat Roll[].;Use the [yellow]Left Stick[] to select [yellow]Combat Roll[].;
