Changed?,Name,Description,Name_uk,Description_uk,
,Spare 6_upgraded,A spare six[;]|Do [sword]2 damage,Spare 6_upgraded,A spare six[;]|Do [sword]2 damage,
,Boop,Do [sword]2 damage,Boop,Do [sword]2 damage,
,Boop_upgraded,Do [sword]2 damage[;]|return the dice,Boop_upgraded,Do [sword]2 damage[;]|return the dice,
,Boop_downgraded,Do [sword]1 damage,Boop_downgraded,Do [sword]1 damage,
,Delete,Permanently delete the|first card in your hand,Delete,Permanently delete the|first card in your hand,
,Venus Fly Trap,Do [sword]<d6> damage[;]|on 6[;] restore [heal]2 health,Venus Fly Trap,Do [sword]<d6> damage[;]|on 6[;] restore [heal]2 health,
,Venus Fly Trap_downgraded,Do [sword]<d6> damage[;]|on 3[;] restore [heal]1 health,Venus Fly Trap_downgraded,Do [sword]<d6> damage[;]|on 3[;] restore [heal]1 health,
,Venus Fly Trap_upgraded,Do [sword]<d6> damage[;]|on 6[;] restore [heal]3 health,Venus Fly Trap_upgraded,Do [sword]<d6> damage[;]|on 6[;] restore [heal]3 health,
,Teleport Spell,Dodge next attack,Teleport Spell,Dodge next attack,
,Earth Spell,Deal [weaken]5 damage|Weaken [weaken]2 equipment,Earth Spell,Deal [weaken]5 damage|Weaken [weaken]2 equipment,
,Earth Spell_downgraded,Deal [weaken]5 damage|Weaken [weaken]1 equipment,Earth Spell_downgraded,Deal [weaken]5 damage|Weaken [weaken]1 equipment,
,Earth Spell_upgraded,Deal [weaken]5 damage|Weaken [weaken]3 equipment,Earth Spell_upgraded,Deal [weaken]5 damage|Weaken [weaken]3 equipment,
,Thunder Spell,Deal [shock]5 damage|Shock [shock]2 equipment,Thunder Spell,Deal [shock]5 damage|Shock [shock]2 equipment,
,Thunder Spell_downgraded,Deal [shock]5 damage|Shock [shock]1 equipment,Thunder Spell_downgraded,Deal [shock]5 damage|Shock [shock]1 equipment,
,Thunder Spell_upgraded,Deal [shock]5 damage|Shock [shock]3 equipment,Thunder Spell_upgraded,Deal [shock]5 damage|Shock [shock]3 equipment,
,Ruby Weapon,Do [sword]<double> damage,Ruby Weapon,Do [sword]<double> damage,
,Ruby Weapon_downgraded,Do [sword]<d6> damage,Ruby Weapon_downgraded,Do [sword]<d6> damage,
,Cactus Spear,Do [sword]<d6> damage[;]|+[sword]1 for each [thorns] thorn,Cactus Spear,Do [sword]<d6> damage[;]|+[sword]1 for each [thorns] thorn,
,Cactus Shield,Add [thorns]1 thorns|[gray](Reuseable),Cactus Shield,Add [thorns]1 thorns|[gray](Reuseable),
,Cactus Shield_upgraded,Add [thorns]2 thorns|[gray](Reuseable),Cactus Shield_upgraded,Add [thorns]2 thorns|[gray](Reuseable),
,Wooden Stake?,Do [sword]30 damage|(to vampires),Wooden Stake?,Do [sword]30 damage|(to vampires),
,Last Stand?,Survive for three turns...|[gray](once per battle),Last Stand?,Survive for three turns...|[gray](once per battle),
,Shooting Star,Do [sword]<d6> damage[;]|inflict [confuse]Confuse,Shooting Star,Do [sword]<d6> damage[;]|inflict [confuse]Confuse,
,Dark Shadow,Do [sword]<d6> damage[;]|add 2x random status,Dark Shadow,Do [sword]<d6> damage[;]|add 2x random status,
,Dark Shadow_upgraded,Do [sword]<d6> damage[;]|add 2x random status,Dark Shadow_upgraded,Do [sword]<d6> damage[;]|add 2x random status,
,Dark Shadow_downgraded,Add 2x random status,Dark Shadow_downgraded,Add 2x random status,
,Rusty Sword,Do [sword]<d6> damage[;] double|if your health is below 50%,Rusty Sword,Do [sword]<d6> damage[;] double|if your health is below 50%,
,Rusty Sword_deckupgrade,Do [sword]<d6> damage[;] double|if your health is critical,Rusty Sword_deckupgrade,Do [sword]<d6> damage[;] double|if your health is critical,
,Polar Star,Do [sword]<double> damage[;] can|only use on even turns,Polar Star,Do [sword]<double> damage[;] can|only use on even turns,
,Polar Star_upgraded,Do [sword]<double> damage[;] can|only use on odd turns,Polar Star_upgraded,Do [sword]<double> damage[;] can|only use on odd turns,
,Katana,Do [sword]<d6> damage|[gray](Reuseable),Katana,Do [sword]<d6> damage|[gray](Reuseable),
,Katana_downgraded,Do [sword]<d6> damage,Katana_downgraded,Do [sword]<d6> damage,
,Parrying Dagger,Do [sword]<d6> damage[;] lock|enemy dice that roll <d6>,Parrying Dagger,Do [sword]<d6> damage[;] lock|enemy dice that roll <d6>,
,Nail Bat,Do [sword]<d6> damage|(You lose [heart]2 hp each turn),Nail Bat,Do [sword]<d6> damage|(You lose [heart]2 hp each turn),
,Nail Bat_downgraded,Do [sword]<d6> damage|(You lose [heart]2 hp each turn),Nail Bat_downgraded,Do [sword]<d6> damage|(You lose [heart]2 hp each turn),
,Nail Bat_weakened,Do [sword]<d6> damage|(You lose [heart]2 hp each turn),Nail Bat_weakened,Do [sword]<d6> damage|(You lose [heart]2 hp each turn),
,Battle Cry,Inflict [weaken]5 weaken|[gray](once per battle),Battle Cry,Inflict [weaken]5 weaken|[gray](once per battle),
,Battle Cry_downgraded,Inflict [weaken]3 weaken|[gray](once per battle),Battle Cry_downgraded,Inflict [weaken]3 weaken|[gray](once per battle),
,Battle Cry_weakened,Inflict [weaken]3 weaken|[gray](once per battle),Battle Cry_weakened,Inflict [weaken]3 weaken|[gray](once per battle),
,Particle Accelerator,On 1: Do [sword]<var_tempparticleacceleratorkludge:particleaccelerator> damage|on 2-6: Double damage,Particle Accelerator,On 1: Do [sword]<var_tempparticleacceleratorkludge:particleaccelerator> damage|on 2-6: Double damage,
,Particle Accelerator_downgraded,Double damage|(currently at [sword]<var_tempparticleacceleratorkludge:particleaccelerator>),Particle Accelerator_downgraded,Double damage|(currently at [sword]<var_tempparticleacceleratorkludge:particleaccelerator>),
,Scissors,Do [sword]<d6> damage[;]|split dice in two,Scissors,Do [sword]<d6> damage[;]|split dice in two,
,Scissors_downgraded,Do [sword]<d6> damage[;]|split value in two,Scissors_downgraded,Do [sword]<d6> damage[;]|split value in two,
,Gemstone Staff,Do [ice]6 damage|Freeze [ice]1 dice,Gemstone Staff,Do [ice]6 damage|Freeze [ice]1 dice,
,Gemstone Staff_weakened,Do [ice]6 damage|Freeze [ice]1 dice,Gemstone Staff_weakened,Do [ice]6 damage|Freeze [ice]1 dice,
,Gemstone Staff_downgraded,Do [ice]3 damage|Freeze [ice]1 dice,Gemstone Staff_downgraded,Do [ice]3 damage|Freeze [ice]1 dice,
,Trident,Do [sword]<d6> damage[;]|[ice]Freeze and [shock]Shock,Trident,Do [sword]<d6> damage[;]|[ice]Freeze and [shock]Shock,
,Trident_upgraded,Do [sword]<d6> damage[;]|[ice]Freeze and [shock]Shock,Trident_upgraded,Do [sword]<d6> damage[;]|[ice]Freeze and [shock]Shock,
,Trident_downgraded,Do [sword]<d6> damage,Trident_downgraded,Do [sword]<d6> damage,
,Sledgehammer,Do [shock]8 damage|[shock]Shocks the enemy,Sledgehammer,Do [shock]8 damage|[shock]Shocks the enemy,
,Sledgehammer_upgraded,Do [shock]10 damage|[shock]Shocks the enemy,Sledgehammer_upgraded,Do [shock]10 damage|[shock]Shocks the enemy,
,Sledgehammer_downgraded,Do [shock]4 damage|[shock]Shocks the enemy,Sledgehammer_downgraded,Do [shock]4 damage|[shock]Shocks the enemy,
,Capacitor,[shock]2 damage + [shock]1 shock|[gray](Reuseable),Capacitor,[shock]2 damage + [shock]1 shock|[gray](Reuseable),
,Capacitor_upgraded,[shock]3 damage + [shock]1 shock|[gray](Reuseable),Capacitor_upgraded,[shock]3 damage + [shock]1 shock|[gray](Reuseable),
,Capacitor_downgraded,[shock]1 damage + [shock]1 shock|[gray](Reuseable),Capacitor_downgraded,[shock]1 damage + [shock]1 shock|[gray](Reuseable),
,Pickaxe,[weaken]<d6> damage + [weaken]1 weaken|[gray](Reuseable),Pickaxe,[weaken]<d6> damage + [weaken]1 weaken|[gray](Reuseable),
,Pickaxe_upgraded,[weaken]1 weaken + [weaken]<d6> damage|[gray](Reuseable),Pickaxe_upgraded,[weaken]1 weaken + [weaken]<d6> damage|[gray](Reuseable),
,Pickaxe_downgraded,[weaken]<d6> damage + [weaken]1 weaken|[gray](Reuseable),Pickaxe_downgraded,[weaken]<d6> damage + [weaken]1 weaken|[gray](Reuseable),
,Fireworks,Do [sword]1 damage for|each status inflicted,Fireworks,Do [sword]1 damage for|each status inflicted,
,Fireworks_upgraded,Do [sword]2 damage for|each status inflicted,Fireworks_upgraded,Do [sword]2 damage for|each status inflicted,
,Kale Salad,Increase max health by 1|[gray](once per battle),Kale Salad,Increase max health by 1|[gray](once per battle),
,Kale Salad_upgraded,Increase max health by 1|[gray](once per battle),Kale Salad_upgraded,Increase max health by 1|[gray](once per battle),
,Kale Salad_downgraded,Increase max health by 1|[gray](once per battle),Kale Salad_downgraded,Increase max health by 1|[gray](once per battle),
,Copper Shield,Add [shield]<double> shield|[gray](once per battle),Copper Shield,Add [shield]<double> shield|[gray](once per battle),
,Crescent Moon Blade,[90%]Even turns: [sword]<eventurn_d6> damage|[90%]Odd turns: [shield]<oddturn_d6> shield,Crescent Moon Blade,[90%]Even turns: [sword]<eventurn_d6> damage|[90%]Odd turns: [shield]<oddturn_d6> shield,
,Kite Shield,Add [shield]8 to shield,Kite Shield,Add [shield]8 to shield,
,Kite Shield_weakened,Add [shield]4 to shield,Kite Shield_weakened,Add [shield]4 to shield,
,Kite Shield_downgraded,Add [shield]4 to shield,Kite Shield_downgraded,Add [shield]4 to shield,
,Thick Skin,Add [shield]<d6> to shield[;]|return the dice,Thick Skin,Add [shield]<d6> to shield[;]|return the dice,
,Thick Skin_upgraded,[]+[shield]<d6> shield[;] +[reduce]1 reduce[;]|return the dice,Thick Skin_upgraded,[]+[shield]<d6> shield[;] +[reduce]1 reduce[;]|return the dice,
,Combat Spatula,Flip a dice upside down|[gray](Reuseable),Combat Spatula,Flip a dice upside down|[gray](Reuseable),
,Grappling Hook?,Keep the next dice you|use[;] and return this dice,Grappling Hook?,Keep the next dice you|use[;] and return this dice,
,Grappling Hook?_upgraded,Keep the next dice you|use[;] and return this dice,Grappling Hook?_upgraded,Keep the next dice you|use[;] and return this dice,
,Grappling Hook?_downgraded,Keep the next dice you use,Grappling Hook?_downgraded,Keep the next dice you use,
,Fishing Net,Do [sword]<d6> damage[;]|lock [lock]1 dice on 3,Fishing Net,Do [sword]<d6> damage[;]|lock [lock]1 dice on 3,
,Fishing Net_downgraded,Do [sword]<d6> damage[;]|lock [lock]1 dice on 2,Fishing Net_downgraded,Do [sword]<d6> damage[;]|lock [lock]1 dice on 2,
,Fishing Net_upgraded,Do [sword]<d6> damage[;]|lock [lock]1 dice on 5,Fishing Net_upgraded,Do [sword]<d6> damage[;]|lock [lock]1 dice on 5,
,Ignite,Inflict [fire]1 burn[;]|return both dice,Ignite,Inflict [fire]1 burn[;]|return both dice,
,Ignite_upgraded,Inflict [fire]1 burn[;]|return the dice,Ignite_upgraded,Inflict [fire]1 burn[;]|return the dice,
,Ignite_downgraded,Inflict [fire]1 burn,Ignite_downgraded,Inflict [fire]1 burn,
,Elastic Heart,Do [sword]<d6> damage[;]|recover [heal]1 health,Elastic Heart,Do [sword]<d6> damage[;]|recover [heal]1 health,
,Elastic Heart_upgraded,Do [sword]<d6> damage[;]|recover [heal]<d6> health,Elastic Heart_upgraded,Do [sword]<d6> damage[;]|recover [heal]<d6> health,
,Half Moon Charm,Roll a six,Half Moon Charm,Roll a six,
,Half Moon Charm_upgraded,Roll two dice that|add up to six,Half Moon Charm_upgraded,Roll two dice that|add up to six,
,Half Moon Charm_downgraded,Roll a three,Half Moon Charm_downgraded,Roll a three,
,Singularity,Roll a one|[gray](Reuseable),Singularity,Roll a one|[gray](Reuseable),
,Lucky Roll,Reroll the dice[;] get a|higher value than before,Lucky Roll,Reroll the dice[;] get a|higher value than before,
,Lucky Roll_upgraded,Reroll with higher value|[gray](Reuseable),Lucky Roll_upgraded,Reroll with higher value|[gray](Reuseable),
,Sine Wave,First dice value +1|Second dice value -1,Sine Wave,First dice value +1|Second dice value -1,
,Sine Wave_upgraded,Both dice values +1,Sine Wave_upgraded,Both dice values +1,
,Sine Wave_downgraded,Both dice values -1,Sine Wave_downgraded,Both dice values -1,
,Candle,Dice value -1[;] Lose [heart]1 hp|[gray](Reuseable),Candle,Dice value -1[;] Lose [heart]1 hp|[gray](Reuseable),
,Candle_upgraded,Dice value +1[;] Lose [heart]1 hp|[gray](Reuseable),Candle_upgraded,Dice value +1[;] Lose [heart]1 hp|[gray](Reuseable),
,Slingshot,Do [sword]6 damage[;]|reroll the dice,Slingshot,Do [sword]6 damage[;]|reroll the dice,
,Slingshot_downgraded,Do [sword]6 damage,Slingshot_downgraded,Do [sword]6 damage,
,Boxing Gloves,Do [sword]<d6> damage[;]|on 1[;] gain [reduce]1 instead,Boxing Gloves,Do [sword]<d6> damage[;]|on 1[;] gain [reduce]1 instead,
,Boxing Gloves_upgraded,Do [sword]<d6> damage[;]|on 1[;] gain [reduce]2 instead,Boxing Gloves_upgraded,Do [sword]<d6> damage[;]|on 1[;] gain [reduce]2 instead,
,Boxing Gloves_downgraded,Do [sword]<d6> damage,Boxing Gloves_downgraded,Do [sword]<d6> damage,
,Battering Ram,Do 2x[shield]<myshield> damage[;]|but depletes your shield,Battering Ram,Do 2x[shield]<myshield> damage[;]|but depletes your shield,
,Battering Ram_upgraded,Do 2x[shield]<myshield> damage[;]|but depletes your shield,Battering Ram_upgraded,Do 2x[shield]<myshield> damage[;]|but depletes your shield,
,Battering Ram_downgraded,Bash with shield[;]|do [shield]<myshield> damage,Battering Ram_downgraded,Bash with shield[;]|do [shield]<myshield> damage,
,Flying Skull,Do [sword]<d6> damage[;]|on 6[;] inflict [curse]Curse,Flying Skull,Do [sword]<d6> damage[;]|on 6[;] inflict [curse]Curse,
,Flying Skull_upgraded,Do [sword]<d6> damage[;]|on even[;] inflict [curse]Curse,Flying Skull_upgraded,Do [sword]<d6> damage[;]|on even[;] inflict [curse]Curse,
,Flying Skull_downgraded,Do [sword]<d6> damage,Flying Skull_downgraded,Do [sword]<d6> damage,
,Disco Ball,Get +1 dice next turn|if the enemy rolls a <d6>,Disco Ball,Get +1 dice next turn|if the enemy rolls a <d6>,
,Disco Ball_upgraded,Get +1 dice next turn|if the enemy rolls a <d6>|[gray](Reuseable),Disco Ball_upgraded,Get +1 dice next turn|if the enemy rolls a <d6>|[gray](Reuseable),
,Disco Ball?,Get an extra <d6> next turn|if the enemy rolls a <d6>,Disco Ball?,Get an extra <d6> next turn|if the enemy rolls a <d6>,
,Disco Ball?_upgraded,Get an extra <d6> next turn|if the enemy rolls a <d6>|[gray](Reuseable),Disco Ball?_upgraded,Get an extra <d6> next turn|if the enemy rolls a <d6>|[gray](Reuseable),
,Woof Woof Woof?,Repeat next action[;] but|disable it next turn,Woof Woof Woof?,Repeat next action[;] but|disable it next turn,
,Shovel?,Weaken if you use 6[;] then|do [weaken]<d6> damage,Shovel?,Weaken if you use 6[;] then|do [weaken]<d6> damage,
,Shovel?_upgraded,[weaken]Weaken enemy[;] then|do [weaken]<d6> damage,Shovel?_upgraded,[weaken]Weaken enemy[;] then|do [weaken]<d6> damage,
,Shovel?_downgraded,Do [weaken]<d6> damage,Shovel?_downgraded,Do [weaken]<d6> damage,
,Ink Splat?,Inflict [blind]Blind for 1 turn,Ink Splat?,Inflict [blind]Blind for 1 turn,
,Ink Splat?_upgraded,Inflict [blind]Blind for 1 turn|[gray](Reuseable),Ink Splat?_upgraded,Inflict [blind]Blind for 1 turn|[gray](Reuseable),
,Sonic Wave?,[weaken]Weaken enemy[;] then|do [weaken]<d6> damage,Sonic Wave?,[weaken]Weaken enemy[;] then|do [weaken]<d6> damage,
,Sonic Wave?_downgraded,[weaken]Weakens enemy,Sonic Wave?_downgraded,[weaken]Weakens enemy,
,Sonic Wave?_upgraded,[weaken]Weaken enemy[;] then|do [weaken]<d6> damage,Sonic Wave?_upgraded,[weaken]Weaken enemy[;] then|do [weaken]<d6> damage,
,Snowball?,Do [ice]<d6> damage|Inflict [ice]1 freeze,Snowball?,Do [ice]<d6> damage|Inflict [ice]1 freeze,
,Snowball?_upgraded,Do [ice]<d6> damage|Inflict [ice]2 freeze,Snowball?_upgraded,Do [ice]<d6> damage|Inflict [ice]2 freeze,
,Snowball?_downgraded,Do [sword]<d6> damage,Snowball?_downgraded,Do [sword]<d6> damage,
,Freeze Spell?,Deal [ice]5 damage|Inflict [ice]2 freeze,Freeze Spell?,Deal [ice]5 damage|Inflict [ice]2 freeze,
,Freeze Spell?_downgraded,Deal [ice]5 damage|Inflict [ice]1 freeze,Freeze Spell?_downgraded,Deal [ice]5 damage|Inflict [ice]1 freeze,
,Freeze Spell?_upgraded,Deal [ice]5 damage|Inflict [ice]1 freeze per dice,Freeze Spell?_upgraded,Deal [ice]5 damage|Inflict [ice]1 freeze per dice,
,Ice Shard?,Do [ice]<d6> damage[;]|Inflict [ice]1 freeze,Ice Shard?,Do [ice]<d6> damage[;]|Inflict [ice]1 freeze,
,Camouflage?,Inflict [blind]Blind for 2 turns,Camouflage?,Inflict [blind]Blind for 2 turns,
,Camouflage?_upgraded,Inflict [blind]Blind for 4 turns,Camouflage?_upgraded,Inflict [blind]Blind for 4 turns,
,Camouflage?_downgraded,Inflict [blind]Blind for 1 turn,Camouflage?_downgraded,Inflict [blind]Blind for 1 turn,
,Ice Crystal?,Do [ice]<d6> damage[;]|Inflict [ice]1 freeze,Ice Crystal?,Do [ice]<d6> damage[;]|Inflict [ice]1 freeze,
,Echo Blast?,Inflict [weaken]2 weaken[;] then|do [weaken]<d6> damage,Echo Blast?,Inflict [weaken]2 weaken[;] then|do [weaken]<d6> damage,
,Earthquake?,Inflict [weaken]3 weaken[;] then|do [weaken]6 damage,Earthquake?,Inflict [weaken]3 weaken[;] then|do [weaken]6 damage,
,Earthquake?_downgraded,Inflict [weaken]2 weaken[;] then|do [weaken]6 damage,Earthquake?_downgraded,Inflict [weaken]2 weaken[;] then|do [weaken]6 damage,
,Earthquake?_upgraded,Inflict [weaken]3 weaken[;] then|do [weaken]9 damage,Earthquake?_upgraded,Inflict [weaken]3 weaken[;] then|do [weaken]9 damage,
,Magic Key,Split a dice in two,Magic Key,Split a dice in two,
,Magic Key_downgraded,Split value in two,Magic Key_downgraded,Split value in two,
,Magic Key_upgraded,Split a dice in two,Magic Key_upgraded,Split a dice in two,
,Chocolate Cookie?,Repeat next action[;] but|disable it next turn,Chocolate Cookie?,Repeat next action[;] but|disable it next turn,
,Dodge?,50% chance to dodge|the next attack,Dodge?,50% chance to dodge|the next attack,
,Flight?,50% chance to dodge|the next attack,Flight?,50% chance to dodge|the next attack,
,Stack Overflow,Do [sword]9 damage[;]|immune to errors,Stack Overflow,Do [sword]9 damage[;]|immune to errors,
,Stack Overflow_upgraded,Do [sword]12 damage[;]|immune to errors,Stack Overflow_upgraded,Do [sword]12 damage[;]|immune to errors,
,Stack Overflow_downgraded,Do [sword]6 damage[;]|immune to errors,Stack Overflow_downgraded,Do [sword]6 damage[;]|immune to errors,
,Precious Egg@6,Contains a powerful item,Precious Egg@6,Contains a powerful item,
,Precious Egg@6_upgraded,Contains a bigger|powerful item,Precious Egg@6_upgraded,Contains a bigger|powerful item,
,Precious Egg@5,Contains a powerful item|Keep going!,Precious Egg@5,Contains a powerful item|Keep going!,
,Precious Egg@5_upgraded,Contains a bigger|powerful item,Precious Egg@5_upgraded,Contains a bigger|powerful item,
,Precious Egg@4,Contains a powerful item|Keep going!,Precious Egg@4,Contains a powerful item|Keep going!,
,Precious Egg@4_upgraded,Contains a bigger|powerful item,Precious Egg@4_upgraded,Contains a bigger|powerful item,
,Precious Egg@3,Contains a powerful item|Keep going!,Precious Egg@3,Contains a powerful item|Keep going!,
,Precious Egg@3_upgraded,Contains a bigger|powerful item,Precious Egg@3_upgraded,Contains a bigger|powerful item,
,Precious Egg@2,Contains a powerful item|Keep going!,Precious Egg@2,Contains a powerful item|Keep going!,
,Precious Egg@2_upgraded,Contains a bigger|powerful item,Precious Egg@2_upgraded,Contains a bigger|powerful item,
,Precious Egg@1,Contains a powerful item|Keep going!,Precious Egg@1,Contains a powerful item|Keep going!,
,Precious Egg@1_upgraded,Contains a bigger|powerful item,Precious Egg@1_upgraded,Contains a bigger|powerful item,
,Very Good Sword,Do [sword]<double> damage,Very Good Sword,Do [sword]<double> damage,
,Very Good Sword_upgraded,Do [sword]<triple> damage,Very Good Sword_upgraded,Do [sword]<triple> damage,
,Very Good Sword_downgraded,Do [sword]<d6> damage,Very Good Sword_downgraded,Do [sword]<d6> damage,
,Sword Hilt,Do [sword]<d6> damage,Sword Hilt,Do [sword]<d6> damage,
,Sword Hilt_upgraded,Do [sword]<d6> damage,Sword Hilt_upgraded,Do [sword]<d6> damage,
,Sword Hilt_downgraded,Do [sword]<d6> damage,Sword Hilt_downgraded,Do [sword]<d6> damage,
,Overclock,Do [sword]2 damage[;] CPU -2|[gray](Reuseable),Overclock,Do [sword]2 damage[;] CPU -2|[gray](Reuseable),
,Overclock_upgraded,Do [sword]3 damage[;] CPU -3|[gray](Reuseable),Overclock_upgraded,Do [sword]3 damage[;] CPU -3|[gray](Reuseable),
,Overclock_downgraded,Do [sword]1 damage[;] CPU -1|[gray](Reuseable),Overclock_downgraded,Do [sword]1 damage[;] CPU -1|[gray](Reuseable),
,Memory Leak,Do [sword]<double> damage|(Slots shrink on each roll),Memory Leak,Do [sword]<double> damage|(Slots shrink on each roll),
,Memory Leak_upgraded,Do [sword]<double> damage|(Slots shrink on each roll),Memory Leak_upgraded,Do [sword]<double> damage|(Slots shrink on each roll),
,Liquid Cooling,Freeze all of your|own dice,Liquid Cooling,Freeze all of your|own dice,
,Liquid Cooling_weakened,Inflict [ice]1 freeze|to yourself,Liquid Cooling_weakened,Inflict [ice]1 freeze|to yourself,
,Liquid Cooling_downgraded,Inflict [ice]1 freeze|to yourself,Liquid Cooling_downgraded,Inflict [ice]1 freeze|to yourself,
,Cooling Fan,Reduce CPU by half,Cooling Fan,Reduce CPU by half,
,Cooling Fan_weakened,Reduce CPU by a quarter,Cooling Fan_weakened,Reduce CPU by a quarter,
,Cooling Fan_downgraded,Reduce CPU by a quarter,Cooling Fan_downgraded,Reduce CPU by a quarter,
,Virus,On each equipment use[;]|increase CPU by 1,Virus,On each equipment use[;]|increase CPU by 1,
,Concatenate,CPU counter +<d6>,Concatenate,CPU counter +<d6>,
,Concatenate_upgraded,CPU counter +<d6>|[gray](Reuseable),Concatenate_upgraded,CPU counter +<d6>|[gray](Reuseable),
,Starspear,Do [sword]6 damage[;]|add 2x random status,Starspear,Do [sword]6 damage[;]|add 2x random status,
,Starspear_upgraded,Do [sword]<d6> damage[;]|add 2x random status,Starspear_upgraded,Do [sword]<d6> damage[;]|add 2x random status,
,Lucky Star,Do [sword]1 damage[;] roll a 5|[gray](Reuseable),Lucky Star,Do [sword]1 damage[;] roll a 5|[gray](Reuseable),
,Lucky Star_upgraded,Do [sword]3 damage[;] roll a 5|[gray](Reuseable),Lucky Star_upgraded,Do [sword]3 damage[;] roll a 5|[gray](Reuseable),
,Lucky Star_downgraded,Do [sword]1 damage[;] roll a 1|[gray](Reuseable),Lucky Star_downgraded,Do [sword]1 damage[;] roll a 1|[gray](Reuseable),
,Mechanical Leg,Do [sword]2 damage for each|unused dice ([sword]<doubleunassigneddice> total),Mechanical Leg,Do [sword]2 damage for each|unused dice ([sword]<doubleunassigneddice> total),
,Mechanical Leg_upgraded,[sword]2 per unused dice ([sword]<doubleunassigneddice>)|[gray](Reuseable),Mechanical Leg_upgraded,[sword]2 per unused dice ([sword]<doubleunassigneddice>)|[gray](Reuseable),
,Mechanical Leg_downgraded,Do [sword]1 damage for each|unused dice ([sword]<unassigneddice> total),Mechanical Leg_downgraded,Do [sword]1 damage for each|unused dice ([sword]<unassigneddice> total),
,Free Spin,Change jackpot abilities|[gray](Reuseable),Free Spin,Change jackpot abilities|[gray](Reuseable),
,Free Spin_upgraded,Change jackpot abilities|[gray](Reuseable),Free Spin_upgraded,Change jackpot abilities|[gray](Reuseable),
,Dragon's Tooth,Do [sword]<triple> damage,Dragon's Tooth,Do [sword]<triple> damage,
,Dragon's Tooth_upgraded,Do [sword]<triple> damage,Dragon's Tooth_upgraded,Do [sword]<triple> damage,
,Dragon's Tooth_downgraded,Do [sword]<double> damage,Dragon's Tooth_downgraded,Do [sword]<double> damage,
,Spatulasword,Do [sword]<d6> damage[;] then|flip the dice upside down,Spatulasword,Do [sword]<d6> damage[;] then|flip the dice upside down,
,Spatulasword_upgraded,Flip the dice upside down[;]|then do [sword]<flipd6> damage,Spatulasword_upgraded,Flip the dice upside down[;]|then do [sword]<flipd6> damage,
,Spatulasword_downgraded,Flip a dice upside down,Spatulasword_downgraded,Flip a dice upside down,
,Ungeradedice,Double dice value[;]|then subtract 1,Ungeradedice,Double dice value[;]|then subtract 1,
,Ungeradedice_upgraded,Double dice value[;]|then add 1,Ungeradedice_upgraded,Double dice value[;]|then add 1,
,Vise Grip,Return two of the|difference between dice,Vise Grip,Return two of the|difference between dice,
,Vise Grip_upgraded,Return three of the|difference between dice,Vise Grip_upgraded,Return three of the|difference between dice,
,Vise Grip_downgraded,Return the difference|between the dice,Vise Grip_downgraded,Return the difference|between the dice,
,Flaming Sword,Do [fire]<d6> damage[;] +[fire]2 burn|([fire]Burn[] yourself each turn),Flaming Sword,Do [fire]<d6> damage[;] +[fire]2 burn|([fire]Burn[] yourself each turn),
,Flaming Sword_upgraded,Do [fire]<d6> damage[;] +[fire]2 burn|([fire]Burn[] yourself each turn),Flaming Sword_upgraded,Do [fire]<d6> damage[;] +[fire]2 burn|([fire]Burn[] yourself each turn),
,Saw Wave,Returns a 6 and a 1,Saw Wave,Returns a 6 and a 1,
,Saw Wave_upgraded,Returns two sixes,Saw Wave_upgraded,Returns two sixes,
,Saw Wave_downgraded,Returns two ones,Saw Wave_downgraded,Returns two ones,
,Leather Armor?,Block [reduce]1 of the|next status effect,Leather Armor?,Block [reduce]1 of the|next status effect,
,Iron Armor?,Block [reduce]2 of the|next status effect,Iron Armor?,Block [reduce]2 of the|next status effect,
,Iron Armor?_downgraded,Block [reduce]1 of the|next status effect,Iron Armor?_downgraded,Block [reduce]1 of the|next status effect,
,Premium Heart,Do [sword]<d6> damage|10% chance of Fury,Premium Heart,Do [sword]<d6> damage|10% chance of Fury,
,Premium Heart_upgraded,Do [sword]<d6> damage|25% chance of Fury,Premium Heart_upgraded,Do [sword]<d6> damage|25% chance of Fury,
,Premium Heart_downgraded,Do [sword]<d6> damage,Premium Heart_downgraded,Do [sword]<d6> damage,
,Time Compression,Undo turn[;] take it again,Time Compression,Undo turn[;] take it again,
,Time Compression_upgraded,Undo turn[;] take it again[;]|immune to errors,Time Compression_upgraded,Undo turn[;] take it again[;]|immune to errors,
,Time Compression_downgraded,Undo turn[;] take it again,Time Compression_downgraded,Undo turn[;] take it again,
,Spud Cannon,[sword]2 dmg[;] [sword]4 on jackpot|[gray](Reuseable),Spud Cannon,[sword]2 dmg[;] [sword]4 on jackpot|[gray](Reuseable),
,Spud Cannon_downgraded,[sword]1 dmg[;] [sword]2 on jackpot|[gray](Reuseable),Spud Cannon_downgraded,[sword]1 dmg[;] [sword]2 on jackpot|[gray](Reuseable),
,Spud Cannon_upgraded,[sword]3 dmg[;] [sword]6 on jackpot|[gray](Reuseable),Spud Cannon_upgraded,[sword]3 dmg[;] [sword]6 on jackpot|[gray](Reuseable),
,Missing Score,Do [sword]<d6> damage|25% chance to return dice,Missing Score,Do [sword]<d6> damage|25% chance to return dice,
,Missing Score_upgraded,Do [sword]<d6> damage|75% chance to return dice,Missing Score_upgraded,Do [sword]<d6> damage|75% chance to return dice,
